,Main,Support,Sector
0,@target,@asktarget,retail
1,@walmart,@walmarthelp,retail
2,@amazon,@amazonhelp,retail
3,@dell,@dellcares,tech
4,@microsoft,@microsofthelps,tech
5,@fedex,@fedexhelp,delivery
6,@ups,@upshelp,delivery
7,@usps,@uspshelp,delivery
8,@linkedin,@linkedinhelp,web
9,@comcast,@comcastcares,cable
10,@americanexpress,@askamex,finance
11,@mastercard,@askmastercard,finance
12,@visa,@askvisa,finance
13,@spotify,@spotifycares,web
14,@dropbox,@dropboxsupport,web
15,@ford,@fordservice,auto
16,@honda,@hondacustsvc,auto
17,@nike,@nikesupport,retail
18,@steam_games,@steamsupport,web
19,@verizon,@vzwsupport,mobile
20,@tmobile,@tmobilehelp,mobile
21,@att,@attcares,mobile
22,@sprint,@sprintcare,mobile
23,@apple,@applesupport,tech
24,motorolaus,moto_support,mobile
25,motorola,motorolasupport,mobile
26,lgus,lgussupport,mobile
27,htc,htchelp,mobile
28,oneplus,oneplus_support,mobile
