,text,mentions,choose_one,class_label
0,All of my calls are failing &amp; I can’t call your 1800 # or 611 @Att @ATTCares ..... why?,"[{'screen_name': 'ATT', 'name': 'AT&T', 'id': 14620190, 'id_str': '14620190', 'indices': [66, 70]}, {'screen_name': 'ATTCares', 'name': 'ATTCares', 'id': 62643312, 'id_str': '62643312', 'indices': [71, 80]}]",,2
1,Once again @ATTCares @ATT with the worst customer service ever. 6 people later and zero answers or resolutions! My mind is done for 🤬🤯,"[{'screen_name': 'ATTCares', 'name': 'ATTCares', 'id': 62643312, 'id_str': '62643312', 'indices': [11, 20]}, {'screen_name': 'ATT', 'name': 'AT&T', 'id': 14620190, 'id_str': '14620190', 'indices': [21, 25]}]",,2
2,"Oh, also, @ATT @ATTCares, your loyalty rep, Robert in Rochester, NY is INCREDIBLE! Best rep I’ve spoken with since joining on as a customer 4-5 years ago. He deserves a raise.","[{'screen_name': 'ATT', 'name': 'AT&T', 'id': 14620190, 'id_str': '14620190', 'indices': [10, 14]}, {'screen_name': 'ATTCares', 'name': 'ATTCares', 'id': 62643312, 'id_str': '62643312', 'indices': [15, 24]}]",,2
3,Hey @ATT @ATTCares thanks for wasting two days of my life and missing 4 appointments to install my internet. You could have just sent me the router!,"[{'screen_name': 'ATT', 'name': 'AT&T', 'id': 14620190, 'id_str': '14620190', 'indices': [4, 8]}, {'screen_name': 'ATTCares', 'name': 'ATTCares', 'id': 62643312, 'id_str': '62643312', 'indices': [9, 18]}]",,2
4,Well. Guarantee my @DIRECTVService goes out tonight with this rain. Also still waiting for some help with my multiple issues that have been going on for close to 2 months...Was close to done before @ATTCares switched employees and now they won't even respond,"[{'screen_name': 'DIRECTVService', 'name': 'DIRECTV Service', 'id': 65510348, 'id_str': '65510348', 'indices': [19, 34]}, {'screen_name': 'ATTCares', 'name': 'ATTCares', 'id': 62643312, 'id_str': '62643312', 'indices': [198, 207]}]",,2
5,When did @ATTCares @ATT @DIRECTV @DIRECTVService customer service get so bad?? Literally been waiting 8 weeks for someone to respond. I bet when i go dispute these 2 months of billing charges with my bank they will respond. Why should i pay for no service?? Hold please 🤳🤳,"[{'screen_name': 'ATTCares', 'name': 'ATTCares', 'id': 62643312, 'id_str': '62643312', 'indices': [9, 18]}, {'screen_name': 'ATT', 'name': 'AT&T', 'id': 14620190, 'id_str': '14620190', 'indices': [19, 23]}, {'screen_name': 'DIRECTV', 'name': 'DIRECTV', 'id': 14946736, 'id_str': '14946736', 'indices': [24, 32]}, {'screen_name': 'DIRECTVService', 'name': 'DIRECTV Service', 'id': 65510348, 'id_str': '65510348', 'indices': [33, 48]}]",,2
6,"Can someone please set up my internet @ATT @ATTCares ....
All I want from my internet provider is to provide internet https://t.co/vCZJjmC7o5","[{'screen_name': 'ATT', 'name': 'AT&T', 'id': 14620190, 'id_str': '14620190', 'indices': [38, 42]}, {'screen_name': 'ATTCares', 'name': 'ATTCares', 'id': 62643312, 'id_str': '62643312', 'indices': [43, 52]}]",,2
7,All i want in life is wifi calling for my pixel on at&amp;t @madebygoogle @ATTCares it's 2018,"[{'screen_name': 'madebygoogle', 'name': 'Made by Google', 'id': 776196808909336577, 'id_str': '776196808909336577', 'indices': [60, 73]}, {'screen_name': 'ATTCares', 'name': 'ATTCares', 'id': 62643312, 'id_str': '62643312', 'indices': [74, 83]}]",,2
8,"This is how @DIRECTV @ATTCares ""buries"" a wire. They won't return calls, emails or DM's to get it buried. https://t.co/4Gap9cxfOw","[{'screen_name': 'DIRECTV', 'name': 'DIRECTV', 'id': 14946736, 'id_str': '14946736', 'indices': [12, 20]}, {'screen_name': 'ATTCares', 'name': 'ATTCares', 'id': 62643312, 'id_str': '62643312', 'indices': [21, 30]}]",,2
9,"So this is what ⁦@ATT⁩ calls a ""6 inch wide trench"" they dug to install my neighbor's internet. WTF ⁦@ATTCares⁩ ? https://t.co/reVyQeX1Fu","[{'screen_name': 'ATT', 'name': 'AT&T', 'id': 14620190, 'id_str': '14620190', 'indices': [17, 21]}, {'screen_name': 'ATTCares', 'name': 'ATTCares', 'id': 62643312, 'id_str': '62643312', 'indices': [101, 110]}]",,2
