,text,mentions,choose_one,class_label
0,"I have to switch from @ATT to @verizon ...I commute 80 miles one way to work &amp; ATT service is horrible along my route. I’m afraid of winter driving without reliable service. My phone call was dropped 3x today, data for travel updates is unreliable &amp; Im afraid to have an emergency","[{'screen_name': 'ATT', 'name': 'AT&T', 'id': 14620190, 'id_str': '14620190', 'indices': [22, 26]}, {'screen_name': 'verizon', 'name': 'Verizon', 'id': 59889953, 'id_str': '59889953', 'indices': [30, 38]}]",,2
1,Man no wonder why my LTE speeds been slow smh @ATT https://t.co/QryyM2VBkm,"[{'screen_name': 'ATT', 'name': 'AT&T', 'id': 14620190, 'id_str': '14620190', 'indices': [46, 50]}]",,2
2,"Wtf is wrong with @NBCTheVoice on @ATT @Uverse tonight the channel has been messed up all day. @nbc get this fixed, can’t stand to watch the voice this way it’s pausing and stoping constantly","[{'screen_name': 'NBCTheVoice', 'name': 'The Voice', 'id': 216444984, 'id_str': '216444984', 'indices': [18, 30]}, {'screen_name': 'ATT', 'name': 'AT&T', 'id': 14620190, 'id_str': '14620190', 'indices': [34, 38]}, {'screen_name': 'Uverse', 'name': 'AT&T U-verse', 'id': 398037232, 'id_str': '398037232', 'indices': [39, 46]}, {'screen_name': 'nbc', 'name': 'NBC Entertainment', 'id': 26585095, 'id_str': '26585095', 'indices': [95, 99]}]",,2
3,All of my calls are failing &amp; I can’t call your 1800 # or 611 @Att @ATTCares ..... why?,"[{'screen_name': 'ATT', 'name': 'AT&T', 'id': 14620190, 'id_str': '14620190', 'indices': [66, 70]}, {'screen_name': 'ATTCares', 'name': 'ATTCares', 'id': 62643312, 'id_str': '62643312', 'indices': [71, 80]}]",,2
4,Once again @ATTCares @ATT with the worst customer service ever. 6 people later and zero answers or resolutions! My mind is done for 🤬🤯,"[{'screen_name': 'ATTCares', 'name': 'ATTCares', 'id': 62643312, 'id_str': '62643312', 'indices': [11, 20]}, {'screen_name': 'ATT', 'name': 'AT&T', 'id': 14620190, 'id_str': '14620190', 'indices': [21, 25]}]",,2
5,"Oh, also, @ATT @ATTCares, your loyalty rep, Robert in Rochester, NY is INCREDIBLE! Best rep I’ve spoken with since joining on as a customer 4-5 years ago. He deserves a raise.","[{'screen_name': 'ATT', 'name': 'AT&T', 'id': 14620190, 'id_str': '14620190', 'indices': [10, 14]}, {'screen_name': 'ATTCares', 'name': 'ATTCares', 'id': 62643312, 'id_str': '62643312', 'indices': [15, 24]}]",,2
6,Hey @ATT @ATTCares thanks for wasting two days of my life and missing 4 appointments to install my internet. You could have just sent me the router!,"[{'screen_name': 'ATT', 'name': 'AT&T', 'id': 14620190, 'id_str': '14620190', 'indices': [4, 8]}, {'screen_name': 'ATTCares', 'name': 'ATTCares', 'id': 62643312, 'id_str': '62643312', 'indices': [9, 18]}]",,2
7,Christina Beaumier went from a @PeaceCorps mission in West Africa to @ATT’s VP of advertising technology. Learn how she bridged the two different worlds #OnTheVillage: https://t.co/C77AZKON24,"[{'screen_name': 'PeaceCorps', 'name': 'Peace Corps', 'id': 9109712, 'id_str': '9109712', 'indices': [31, 42]}, {'screen_name': 'ATT', 'name': 'AT&T', 'id': 14620190, 'id_str': '14620190', 'indices': [69, 73]}]",,2
8,We've got @NBThieves coming to our @ATT THANKS Sound Studio! Enter to win a spot here: https://t.co/r4wEB1cEC3 #ATTTHANKS https://t.co/UUzKxLLyXk,"[{'screen_name': 'NBThieves', 'name': 'Nothing But Thieves', 'id': 259269984, 'id_str': '259269984', 'indices': [10, 20]}, {'screen_name': 'ATT', 'name': 'AT&T', 'id': 14620190, 'id_str': '14620190', 'indices': [35, 39]}]",,2
9,When did @ATTCares @ATT @DIRECTV @DIRECTVService customer service get so bad?? Literally been waiting 8 weeks for someone to respond. I bet when i go dispute these 2 months of billing charges with my bank they will respond. Why should i pay for no service?? Hold please 🤳🤳,"[{'screen_name': 'ATTCares', 'name': 'ATTCares', 'id': 62643312, 'id_str': '62643312', 'indices': [9, 18]}, {'screen_name': 'ATT', 'name': 'AT&T', 'id': 14620190, 'id_str': '14620190', 'indices': [19, 23]}, {'screen_name': 'DIRECTV', 'name': 'DIRECTV', 'id': 14946736, 'id_str': '14946736', 'indices': [24, 32]}, {'screen_name': 'DIRECTVService', 'name': 'DIRECTV Service', 'id': 65510348, 'id_str': '65510348', 'indices': [33, 48]}]",,2
10,"I am sooooo embarrassed. I went into @olivegarden in Buena Park because @ATTTHANKS offers great benefits however after ordering the Tour of Italy, I was informed “ This coupon Is fake, my manager has never heard of it.” I even showed the phone. Here I am bragging about @ATT 😡🤬 https://t.co/f3eT2XMmeP","[{'screen_name': 'olivegarden', 'name': 'Olive Garden', 'id': 6018802, 'id_str': '6018802', 'indices': [37, 49]}, {'screen_name': 'ATTTHANKS', 'name': 'ATTTHANKS', 'id': 913428091195805696, 'id_str': '913428091195805696', 'indices': [72, 82]}, {'screen_name': 'ATT', 'name': 'AT&T', 'id': 14620190, 'id_str': '14620190', 'indices': [270, 274]}]",,2
11,"Can someone please set up my internet @ATT @ATTCares ....
All I want from my internet provider is to provide internet https://t.co/vCZJjmC7o5","[{'screen_name': 'ATT', 'name': 'AT&T', 'id': 14620190, 'id_str': '14620190', 'indices': [38, 42]}, {'screen_name': 'ATTCares', 'name': 'ATTCares', 'id': 62643312, 'id_str': '62643312', 'indices': [43, 52]}]",,2
12,"Customer Service is dead. Fuck the customer. At least, that's what @ATT thinks","[{'screen_name': 'ATT', 'name': 'AT&T', 'id': 14620190, 'id_str': '14620190', 'indices': [67, 71]}]",,2
13,At #ThisisRelevance left to right:  Catherine Sullivan head of U.S. investment  @OmnicomMediaGrp w/ @ATT Chief Brand Officer   @FionaCarter  @OMD_USA @Hearts_Science @Omnicom  @xandr76 https://t.co/d33qXyAT2Y,"[{'screen_name': 'OmnicomMediaGrp', 'name': 'Omnicom Media Group', 'id': 851890673611677696, 'id_str': '851890673611677696', 'indices': [80, 96]}, {'screen_name': 'ATT', 'name': 'AT&T', 'id': 14620190, 'id_str': '14620190', 'indices': [100, 104]}, {'screen_name': 'FionaCarter', 'name': 'Fiona Carter', 'id': 299862740, 'id_str': '299862740', 'indices': [127, 139]}, {'screen_name': 'OMD_USA', 'name': 'OMD USA', 'id': 62544461, 'id_str': '62544461', 'indices': [141, 149]}, {'screen_name': 'Hearts_Science', 'name': 'Hearts & Science', 'id': 732692977760538628, 'id_str': '732692977760538628', 'indices': [150, 165]}, {'screen_name': 'Omnicom', 'name': 'Omnicom Group', 'id': 1666100959, 'id_str': '1666100959', 'indices': [166, 174]}, {'screen_name': 'Xandr76', 'name': 'Xandr', 'id': 42978171, 'id_str': '42978171', 'indices': [176, 184]}]",,2
14,"Hey, @ATT, your customer service reps are AWFUL. They hardly speak English and one should be fired for signing me up for something I NEVER AGREED TO just so they could make a dollar. Also, thanks for not informing me as to WHY my internet bill was $231.00. You guys royally blow.","[{'screen_name': 'ATT', 'name': 'AT&T', 'id': 14620190, 'id_str': '14620190', 'indices': [5, 9]}]",,2
15,What in the hell makes @ATT think it's ok to have marketers knocking on my door at 7:45 p.m.?,"[{'screen_name': 'ATT', 'name': 'AT&T', 'id': 14620190, 'id_str': '14620190', 'indices': [23, 27]}]",,2
16,hey what's up guys it's @ATT with no connection again,"[{'screen_name': 'ATT', 'name': 'AT&T', 'id': 14620190, 'id_str': '14620190', 'indices': [24, 28]}]",,2
17,"I'm so tired of y'all hanging up while I'm waiting for a representative, y'all must not want my business @ATT","[{'screen_name': 'ATT', 'name': 'AT&T', 'id': 14620190, 'id_str': '14620190', 'indices': [105, 109]}]",,2
18,I prefer @TMobile over @ATT because @JohnLegere is the coolest ceo ever!!! https://t.co/27IQqr3Wr1,"[{'screen_name': 'TMobile', 'name': 'T-Mobile', 'id': 17338082, 'id_str': '17338082', 'indices': [9, 17]}, {'screen_name': 'ATT', 'name': 'AT&T', 'id': 14620190, 'id_str': '14620190', 'indices': [23, 27]}, {'screen_name': 'JohnLegere', 'name': 'John Legere', 'id': 1394399438, 'id_str': '1394399438', 'indices': [36, 47]}]",,2
19,"""People want beacons in their life. Brands that can draw them to them. At the end of the day, that's what every market should be trying to do - become a beacon,"" @FionaCarter of @ATT speaking alongside fellow panelist at our Relevance Conference! #ThisIsRelevance https://t.co/yLccbHuzHH","[{'screen_name': 'FionaCarter', 'name': 'Fiona Carter', 'id': 299862740, 'id_str': '299862740', 'indices': [162, 174]}, {'screen_name': 'ATT', 'name': 'AT&T', 'id': 14620190, 'id_str': '14620190', 'indices': [178, 182]}]",,2
20,"Hey @att just because I had a new phone shipped to a different location, it does not mean you can SPAM me at that address! PLEASE STOP. This is a place of business not a place to send more marketing collateral.","[{'screen_name': 'ATT', 'name': 'AT&T', 'id': 14620190, 'id_str': '14620190', 'indices': [4, 8]}]",,2
21,.@Ask_Spectrum @ATT @verizon et al everyone of you charge too much for unlimited data on a cell phone. It really is a s i n; I don't buy that you need more info structure. You lease equipment and write it off.,"[{'screen_name': 'Ask_Spectrum', 'name': 'Ask Spectrum', 'id': 19638927, 'id_str': '19638927', 'indices': [1, 14]}, {'screen_name': 'ATT', 'name': 'AT&T', 'id': 14620190, 'id_str': '14620190', 'indices': [15, 19]}, {'screen_name': 'verizon', 'name': 'Verizon', 'id': 59889953, 'id_str': '59889953', 'indices': [20, 28]}]",,2
22,"Hey, @ATT keeping me on hold forever won't keep me from canceling my landline. It'll just make me look up contact info for California Public Utilities Commission @californiapuc and California Department of Consumer Affairs @Californiadca. #badbusiness #ATT","[{'screen_name': 'ATT', 'name': 'AT&T', 'id': 14620190, 'id_str': '14620190', 'indices': [5, 9]}, {'screen_name': 'californiapuc', 'name': 'California PUC', 'id': 24973934, 'id_str': '24973934', 'indices': [162, 176]}]",,2
