,text,mentions,choose_one,class_label
0,Hey @comcastcares since when did we have data caps on WiFi and why the hell are you price gouging? It’s ridiculous.,"[{'screen_name': 'comcastcares', 'name': 'ComcastCares', 'id': 14104847, 'id_str': '14104847', 'indices': [4, 17]}]",,2
1,"We haven't had a full day of service in at least 2 years. It connects, but hours later I have to reboot modem, 50% of the time that works, the rest of the time there is no connection and I have to leave home to get internet access. HELP! @ComcastCares
#mobile_CareXI","[{'screen_name': 'comcastcares', 'name': 'ComcastCares', 'id': 14104847, 'id_str': '14104847', 'indices': [238, 251]}]",,2
2,Thanks @comcastcares for top level customer support.,"[{'screen_name': 'comcastcares', 'name': 'ComcastCares', 'id': 14104847, 'id_str': '14104847', 'indices': [7, 20]}]",,2
3,Wow @comcast @comcastcares customer service is awful! Have to call 3 times about a downed line and apparently can’t schedule for 3 weeks out?!? Makes a lot of sense. Not helping your brand or loyalty.,"[{'screen_name': 'comcast', 'name': 'Comcast', 'id': 89587925, 'id_str': '89587925', 'indices': [4, 12]}, {'screen_name': 'comcastcares', 'name': 'ComcastCares', 'id': 14104847, 'id_str': '14104847', 'indices': [13, 26]}]",,2
4,"So glad that I pay @comcastcares hundreds of dollars per month so this stupidity can randomly happen for absolutely NO reason at all! Oh, and the CONSTANT pixelated screens are awesome too!!! #sarcasm https://t.co/NGawPklZMO","[{'screen_name': 'comcastcares', 'name': 'ComcastCares', 'id': 14104847, 'id_str': '14104847', 'indices': [19, 32]}]",,2
5,"i’m so tired of hearing those @comcast commercials of them having great service when our TV, internet, and phone service all go down probably once to twice a month. that is not normal! and even then the internet is often extremely slow! we’re paying for no TV rn @comcastcares","[{'screen_name': 'comcast', 'name': 'Comcast', 'id': 89587925, 'id_str': '89587925', 'indices': [30, 38]}, {'screen_name': 'comcastcares', 'name': 'ComcastCares', 'id': 14104847, 'id_str': '14104847', 'indices': [263, 276]}]",,2
6,Been on the phone with @comcast @Xfinity     @comcastcares since 6am now 4pm. Call has dropped hung up on 9 times. Why would I use this company for my bussiness? #theydontcare #horriblecustomerservice,"[{'screen_name': 'comcast', 'name': 'Comcast', 'id': 89587925, 'id_str': '89587925', 'indices': [23, 31]}, {'screen_name': 'Xfinity', 'name': 'Xfinity', 'id': 14996251, 'id_str': '14996251', 'indices': [32, 40]}, {'screen_name': 'comcastcares', 'name': 'ComcastCares', 'id': 14104847, 'id_str': '14104847', 'indices': [45, 58]}]",,2
7,.gov funded @comcastcares $10 Internet/#safelink phones 4 app work or website work #prostiution cost lives #nonstopwork @IllinoisDCFS @fbi,"[{'screen_name': 'comcastcares', 'name': 'ComcastCares', 'id': 14104847, 'id_str': '14104847', 'indices': [12, 25]}, {'screen_name': 'IllinoisDCFS', 'name': 'IllinoisDCFS', 'id': 2255492516, 'id_str': '2255492516', 'indices': [120, 133]}, {'screen_name': 'FBI', 'name': 'FBI', 'id': 17629860, 'id_str': '17629860', 'indices': [134, 138]}]",,2
8,What is going on @comcastcares @comcast that suddenly there is no @cbs affiliate @wusa9 kicks me back to #NewsChannel8 https://t.co/Jq91pBrQ9J,"[{'screen_name': 'comcastcares', 'name': 'ComcastCares', 'id': 14104847, 'id_str': '14104847', 'indices': [17, 30]}, {'screen_name': 'comcast', 'name': 'Comcast', 'id': 89587925, 'id_str': '89587925', 'indices': [31, 39]}, {'screen_name': 'CBS', 'name': 'CBS', 'id': 97739866, 'id_str': '97739866', 'indices': [66, 70]}, {'screen_name': 'wusa9', 'name': 'WUSA9', 'id': 15391102, 'id_str': '15391102', 'indices': [81, 87]}]",,2
9,https://t.co/Q4JzPR2w3U @Xfinity @comcastcares @ComcastMilitary @SportsCenter @ESPN @FOXSports HIRAM POOLE #STALK WSM Disc Jockey #TaylorMorgan,"[{'screen_name': 'Xfinity', 'name': 'Xfinity', 'id': 14996251, 'id_str': '14996251', 'indices': [24, 32]}, {'screen_name': 'comcastcares', 'name': 'ComcastCares', 'id': 14104847, 'id_str': '14104847', 'indices': [33, 46]}, {'screen_name': 'ComcastMilitary', 'name': 'Comcast Military', 'id': 4845767743, 'id_str': '4845767743', 'indices': [47, 63]}, {'screen_name': 'SportsCenter', 'name': 'SportsCenter', 'id': 26257166, 'id_str': '26257166', 'indices': [64, 77]}, {'screen_name': 'espn', 'name': 'ESPN', 'id': 2557521, 'id_str': '2557521', 'indices': [78, 83]}, {'screen_name': 'FOXSports', 'name': 'FOX Sports', 'id': 16877611, 'id_str': '16877611', 'indices': [84, 94]}]",,2
10,And thank you @Twitter for enabling brands the best and fastest communication possible. @comcastcares,"[{'screen_name': 'Twitter', 'name': 'Twitter', 'id': 783214, 'id_str': '783214', 'indices': [14, 22]}, {'screen_name': 'comcastcares', 'name': 'ComcastCares', 'id': 14104847, 'id_str': '14104847', 'indices': [88, 101]}]",,2
11,"hello @comcastcares needing to speak to someone about my internet usage cap, got transferred to a supervisor that couldn't help and sent me to security where i've been on hold for over 20min now. need some answers.","[{'screen_name': 'comcastcares', 'name': 'ComcastCares', 'id': 14104847, 'id_str': '14104847', 'indices': [6, 19]}]",,2
12,"In March 2018 after weeks of troubleshooting @comcastcares had me sign a business contract as my “only possible solution” to consistent upload.

In August 2018 I decided to move after dropping 20,000 frames in a stream.

Today I was told I’d have to pay $2600 to cancel.","[{'screen_name': 'comcastcares', 'name': 'ComcastCares', 'id': 14104847, 'id_str': '14104847', 'indices': [45, 58]}]",,2
13,Do you think it’s ok for a @Comcast technician to identify a problem on their network and tell you he will have it taken care of and not do so? #badcustomerservice #wastingmytime @comcastcares,"[{'screen_name': 'comcast', 'name': 'Comcast', 'id': 89587925, 'id_str': '89587925', 'indices': [27, 35]}, {'screen_name': 'comcastcares', 'name': 'ComcastCares', 'id': 14104847, 'id_str': '14104847', 'indices': [179, 192]}]",,2
14,"Despite @CenturyLink best efforts I'm going to try to stream tonight.  I can't believe I actually have @comcastcares  for actually helping me get back online.

This has been a ridiculous ordeal to get service from @CenturyLink and they really need to reevaluate how they comminate","[{'screen_name': 'CenturyLink', 'name': 'CenturyLink', 'id': 44182242, 'id_str': '44182242', 'indices': [8, 20]}, {'screen_name': 'comcastcares', 'name': 'ComcastCares', 'id': 14104847, 'id_str': '14104847', 'indices': [103, 116]}, {'screen_name': 'CenturyLink', 'name': 'CenturyLink', 'id': 44182242, 'id_str': '44182242', 'indices': [214, 226]}]",,2
