,text,mentions,choose_one,class_label
0,".@Comcast gives Jacksonville veterans center computer lab, low-cost online access to veterans nationwide #ilovejax #veterans @Xfinity @jaxdotcom https://t.co/tAYrlx2e4H","[{'screen_name': 'comcast', 'name': 'Comcast', 'id': 89587925, 'id_str': '89587925', 'indices': [1, 9]}, {'screen_name': 'Xfinity', 'name': 'Xfinity', 'id': 14996251, 'id_str': '14996251', 'indices': [125, 133]}, {'screen_name': 'jaxdotcom', 'name': 'Florida Times-Union', 'id': 15572679, 'id_str': '15572679', 'indices': [134, 144]}]",,2
1,"Hey @comcast, could you update your monitoring algorithm to only warn people about how much data they're using if they're on track to overuse? There's no reason for me to be obnoxiously notified via injection that I've used half my allotted data with 5 days left in the month.","[{'screen_name': 'comcast', 'name': 'Comcast', 'id': 89587925, 'id_str': '89587925', 'indices': [4, 12]}]",,2
2,"The @comcast app is garbage, but @YouTube has my back for a live stream of the @PhilBredesen debate #VoterRegistrationDay","[{'screen_name': 'comcast', 'name': 'Comcast', 'id': 89587925, 'id_str': '89587925', 'indices': [4, 12]}, {'screen_name': 'YouTube', 'name': 'YouTube', 'id': 10228272, 'id_str': '10228272', 'indices': [33, 41]}, {'screen_name': 'PhilBredesen', 'name': 'Phil Bredesen', 'id': 919993894141603840, 'id_str': '919993894141603840', 'indices': [79, 92]}]",,2
3,"Have had my WiFi box for three hours, the people said they were gonna come to see why it wasn’t working tomorrow, they’re complete idiots took 30 mins for me to get it on and working through online. @Xfinity @comcast fix ur shit. Smh","[{'screen_name': 'Xfinity', 'name': 'Xfinity', 'id': 14996251, 'id_str': '14996251', 'indices': [199, 207]}, {'screen_name': 'comcast', 'name': 'Comcast', 'id': 89587925, 'id_str': '89587925', 'indices': [208, 216]}]",,2
4,internet is being dumb...and @comcast or @Xfinity are not doing anything to help. they told me what was wrong. then the chat ends....like oh that doesnt help ANYTHINGGGGG im really aggrivated. so. who is streaming? drop some links,"[{'screen_name': 'comcast', 'name': 'Comcast', 'id': 89587925, 'id_str': '89587925', 'indices': [29, 37]}, {'screen_name': 'Xfinity', 'name': 'Xfinity', 'id': 14996251, 'id_str': '14996251', 'indices': [41, 49]}]",,2
5,"Hey, @AMC_TV the Lodge 49 episode from last night only loaded 12 minutes on @comcast on demand. Can someone load the full episode? 👍 Thanks.","[{'screen_name': 'AMC_TV', 'name': 'AMC', 'id': 148807607, 'id_str': '148807607', 'indices': [5, 12]}, {'screen_name': 'comcast', 'name': 'Comcast', 'id': 89587925, 'id_str': '89587925', 'indices': [76, 84]}]",,2
6,PSA for people thinking about switching to @comcast mobile. Do not do it their systems are so old the make themselves look as if they are not even to the stone age. I would highly recommend to stay away as even their customer service skills suck. #dontdoit #CustomerService,"[{'screen_name': 'comcast', 'name': 'Comcast', 'id': 89587925, 'id_str': '89587925', 'indices': [43, 51]}]",,2
7,"Switch to @DIRECTV they said, it'll be great, they said. 

I miss you @comcast https://t.co/LAri0YbFQY","[{'screen_name': 'DIRECTV', 'name': 'DIRECTV', 'id': 14946736, 'id_str': '14946736', 'indices': [10, 18]}, {'screen_name': 'comcast', 'name': 'Comcast', 'id': 89587925, 'id_str': '89587925', 'indices': [70, 78]}]",,2
8,"Yo @comcast, if y'all are going to make me talk to a fucking robots before I speak to a person DON'T have the fake person fake type.","[{'screen_name': 'comcast', 'name': 'Comcast', 'id': 89587925, 'id_str': '89587925', 'indices': [3, 11]}]",,2
9,Had a great day @beaconhousedc with #DavidLCohen @comcast @LamoureuxTwins and @JJoynerKersee announcing new and exciting things around our #InternetEssentials program in #WashingtonDC! https://t.co/CBsXJSvZdq,"[{'screen_name': 'beaconhouseDC', 'name': 'Beacon House', 'id': 727139317970292736, 'id_str': '727139317970292736', 'indices': [16, 30]}, {'screen_name': 'comcast', 'name': 'Comcast', 'id': 89587925, 'id_str': '89587925', 'indices': [49, 57]}, {'screen_name': 'LamoureuxTwins', 'name': 'Jocelyne and Monique Lamoureux', 'id': 275704766, 'id_str': '275704766', 'indices': [58, 73]}, {'screen_name': 'JJoynerKersee', 'name': 'J Joyner-Kersee', 'id': 1332673651, 'id_str': '1332673651', 'indices': [78, 92]}]",,2
