,text,mentions,choose_one,class_label
0,"E mais uma vez a @DellAjuda @DellnoBrasil @Dell nos trazendo arrependimento; mais um problema em máquina comprada em janeiro/2017, já deu problema enorme em outubro/2017 e agora denovo! #FujamdoDell","[{'screen_name': 'DellAjuda', 'name': 'Dell Ajuda', 'id': 393386652, 'id_str': '393386652', 'indices': [17, 27]}, {'screen_name': 'DellnoBrasil', 'name': 'Dell no Brasil', 'id': 20639470, 'id_str': '20639470', 'indices': [28, 41]}, {'screen_name': 'Dell', 'name': 'Dell', 'id': 58561993, 'id_str': '58561993', 'indices': [42, 47]}]",,2
1,How data analysis can help small businesses grow @mysmallbusiness @theage @Dell https://t.co/RNCVpuxg7E,"[{'screen_name': 'mysmallbusiness', 'name': 'MySmallBusiness', 'id': 32203618, 'id_str': '32203618', 'indices': [49, 65]}, {'screen_name': 'theage', 'name': 'The Age', 'id': 32201814, 'id_str': '32201814', 'indices': [66, 73]}, {'screen_name': 'Dell', 'name': 'Dell', 'id': 58561993, 'id_str': '58561993', 'indices': [74, 79]}]",,2
2,The ultrathin @Dell S2718D 27-inch monitor is on sale for a very limited time https://t.co/Xw9UAmBPuH,"[{'screen_name': 'Dell', 'name': 'Dell', 'id': 58561993, 'id_str': '58561993', 'indices': [14, 19]}]",,2
3,"Women still struggle to access capital, networks and resources they need to scale, @Dell has been investing in research to better understand the obstacles and also by focusing on policies that promote access to capital and foster female talent. #sparkfest
https://t.co/bsaoWKyFZO https://t.co/UpTrbKtX3f","[{'screen_name': 'Dell', 'name': 'Dell', 'id': 58561993, 'id_str': '58561993', 'indices': [83, 88]}]",,2
4,Ty @Dell &amp; @MATHCOUNTS for raising awareness of #STEM on #CapitolHill. Congrats to @MeetMelissaM &amp; her middle school partner Ellie for making it to the semi-finals 👩🏻‍🏫👩🏻‍🏫. Always great to join Sen. @ChrisCoons and tech industry leaders to promote #math #Congress4CS https://t.co/1lm2qcJFP5,"[{'screen_name': 'Dell', 'name': 'Dell', 'id': 58561993, 'id_str': '58561993', 'indices': [3, 8]}, {'screen_name': 'MATHCOUNTS', 'name': 'MATHCOUNTS', 'id': 12964102, 'id_str': '12964102', 'indices': [15, 26]}, {'screen_name': 'MeetMelissaM', 'name': 'Melissa Medina', 'id': 344241344, 'id_str': '344241344', 'indices': [87, 100]}, {'screen_name': 'ChrisCoons', 'name': 'Senator Chris Coons', 'id': 15324851, 'id_str': '15324851', 'indices': [208, 219]}]",,2
5,"Congratulations to @CAinc's Brian Burba and pros from @Manulife, @Avnet, @Genesys, @enerjisa, @Dell, @Adobe, @LoveBethpage, @footlocker, @RbACorp, @sagegroupplc, @MultiChoice &amp; other #CX leaders for being @CXPA_Assoc Impact Award Semi-Finalists! https://t.co/NYB6okZD7t","[{'screen_name': 'CAinc', 'name': 'CA Technologies', 'id': 14790085, 'id_str': '14790085', 'indices': [19, 25]}, {'screen_name': 'Manulife', 'name': 'Manulife', 'id': 745357855, 'id_str': '745357855', 'indices': [54, 63]}, {'screen_name': 'Avnet', 'name': 'Avnet', 'id': 934714110, 'id_str': '934714110', 'indices': [65, 71]}, {'screen_name': 'Genesys', 'name': 'Genesys', 'id': 25163563, 'id_str': '25163563', 'indices': [73, 81]}, {'screen_name': 'enerjisa', 'name': 'Enerjisa', 'id': 1159581270, 'id_str': '1159581270', 'indices': [83, 92]}, {'screen_name': 'Dell', 'name': 'Dell', 'id': 58561993, 'id_str': '58561993', 'indices': [94, 99]}, {'screen_name': 'Adobe', 'name': 'Adobe', 'id': 63786611, 'id_str': '63786611', 'indices': [101, 107]}, {'screen_name': 'LoveBethpage', 'name': 'Bethpage', 'id': 245479935, 'id_str': '245479935', 'indices': [109, 122]}, {'screen_name': 'footlocker', 'name': 'Foot Locker', 'id': 22030851, 'id_str': '22030851', 'indices': [124, 135]}, {'screen_name': 'RbACorp', 'name': 'Renewal by Andersen', 'id': 526695404, 'id_str': '526695404', 'indices': [137, 145]}, {'screen_name': 'sagegroupplc', 'name': 'Sage', 'id': 36659880, 'id_str': '36659880', 'indices': [147, 160]}, {'screen_name': 'MultiChoice', 'name': 'MultiChoice', 'id': 37878045, 'id_str': '37878045', 'indices': [162, 174]}, {'screen_name': 'CXPA_Assoc', 'name': 'CXPA', 'id': 281721599, 'id_str': '281721599', 'indices': [209, 220]}]",,2
6,The @dell Info Session is in full swing here at the Feld! https://t.co/iaPBccNjd0,"[{'screen_name': 'Dell', 'name': 'Dell', 'id': 58561993, 'id_str': '58561993', 'indices': [4, 9]}]",,2
7,Working in sales @Dell is nothing like you'd imagine. Check out their open roles here: https://t.co/maf45cNvB9 @CareersAtDell https://t.co/7K77yoln81,"[{'screen_name': 'Dell', 'name': 'Dell', 'id': 58561993, 'id_str': '58561993', 'indices': [17, 22]}, {'screen_name': 'CareersAtDell', 'name': 'Life At Dell', 'id': 52098955, 'id_str': '52098955', 'indices': [111, 125]}]",,2
8,"Want to hear some hot #tech issues? In one week from today, join @galvanize and speakers from @gigaom and @Dell debating whether #AI will take over the world. Sign up here:  https://t.co/fW1co2vP6y!","[{'screen_name': 'galvanize', 'name': 'Galvanize', 'id': 299081229, 'id_str': '299081229', 'indices': [65, 75]}, {'screen_name': 'gigaom', 'name': 'Gigaom', 'id': 2893971, 'id_str': '2893971', 'indices': [94, 101]}, {'screen_name': 'Dell', 'name': 'Dell', 'id': 58561993, 'id_str': '58561993', 'indices': [106, 111]}]",,2
9,"I'm on my @Dell M5520 laptop w/ @nvidia M1200 graphics, tossing around a @SOLIDWORKS #SW2019 top-level assembly w/ over 66,000 bodies &amp; nearly 80 million graphics triangles. I'm running out of RAM before graphics! Guess my #ThursdayThoughts @gsc3d can be summed up  simply as #WOW https://t.co/otFr1i3NIC","[{'screen_name': 'Dell', 'name': 'Dell', 'id': 58561993, 'id_str': '58561993', 'indices': [10, 15]}, {'screen_name': 'nvidia', 'name': 'NVIDIA', 'id': 61559439, 'id_str': '61559439', 'indices': [32, 39]}, {'screen_name': 'SOLIDWORKS', 'name': 'SOLIDWORKS', 'id': 15163518, 'id_str': '15163518', 'indices': [73, 84]}, {'screen_name': 'gsc3d', 'name': 'GSC', 'id': 32557123, 'id_str': '32557123', 'indices': [245, 251]}]",,2
