,text,mentions,choose_one,class_label
0,Hey @DropboxSupport is there a way to not have my audio files compressed while my clients who I share a link to my files with are playing them through your player? It’s really annoying and I’m sure many audio engineer are disappointed by this update. Thank you @Dropbox,"[{'screen_name': 'DropboxSupport', 'name': 'Dropbox Support', 'id': 51259915, 'id_str': '51259915', 'indices': [4, 19]}, {'screen_name': 'Dropbox', 'name': 'Dropbox', 'id': 14749606, 'id_str': '14749606', 'indices': [261, 269]}]",,2
1,"Hey @Dropbox / @DropboxSupport ... could you please figure out how to stop ""smart sync"" from downloading everything in my ""save"" panel when I'm in an Adobe application ... #frustrating","[{'screen_name': 'Dropbox', 'name': 'Dropbox', 'id': 14749606, 'id_str': '14749606', 'indices': [4, 12]}, {'screen_name': 'DropboxSupport', 'name': 'Dropbox Support', 'id': 51259915, 'id_str': '51259915', 'indices': [15, 30]}]",,2
2,"Segunda vez que preciso recuperar um arquivo mais antigo no @DropboxSupport e ele não funciona. Não tem como acessar. 

Não tá dando pra confiar","[{'screen_name': 'DropboxSupport', 'name': 'Dropbox Support', 'id': 51259915, 'id_str': '51259915', 'indices': [60, 75]}]",,2
3,"Absolutely outstanding support from Jennifer @DropboxSupport the ""chatline"" is amazing and Jennifer was able to sort out my technical issue very quickly and proficiently. Thank you https://t.co/A1jVu2ggOG","[{'screen_name': 'DropboxSupport', 'name': 'Dropbox Support', 'id': 51259915, 'id_str': '51259915', 'indices': [45, 60]}]",,2
4,Yo @DropboxSupport! How do I reply to a comment left on a file? I am confused.,"[{'screen_name': 'DropboxSupport', 'name': 'Dropbox Support', 'id': 51259915, 'id_str': '51259915', 'indices': [3, 18]}]",,2
5,Email Security is out! https://t.co/R0wX4V5UuY Stories via @DropboxSupport @TNLUK @UCP_Group #software #bigdata,"[{'screen_name': 'DropboxSupport', 'name': 'Dropbox Support', 'id': 51259915, 'id_str': '51259915', 'indices': [59, 74]}, {'screen_name': 'TNLUK', 'name': 'The National Lottery', 'id': 249733084, 'id_str': '249733084', 'indices': [75, 81]}, {'screen_name': 'UCP_Group', 'name': 'UCP Group', 'id': 452910307, 'id_str': '452910307', 'indices': [82, 92]}]",,2
6,"SO Screwed. @DropboxSupport @Dropbox ALL of my important, critical files are gone. GONE. I thought you said they were #Safe. They're not. DO NOT USE DROPBOX. It's NOT secure after all. No cloud backup.","[{'screen_name': 'DropboxSupport', 'name': 'Dropbox Support', 'id': 51259915, 'id_str': '51259915', 'indices': [12, 27]}, {'screen_name': 'Dropbox', 'name': 'Dropbox', 'id': 14749606, 'id_str': '14749606', 'indices': [28, 36]}]",,2
7,Shout out to @Dropbox one time. Y’all save lives out here. @DropboxSupport @DropboxBusiness @dropboxapi,"[{'screen_name': 'Dropbox', 'name': 'Dropbox', 'id': 14749606, 'id_str': '14749606', 'indices': [13, 21]}, {'screen_name': 'DropboxSupport', 'name': 'Dropbox Support', 'id': 51259915, 'id_str': '51259915', 'indices': [59, 74]}, {'screen_name': 'DropboxBusiness', 'name': 'Dropbox Business', 'id': 2208547476, 'id_str': '2208547476', 'indices': [75, 91]}, {'screen_name': 'dropboxapi', 'name': 'Dropbox API', 'id': 141247659, 'id_str': '141247659', 'indices': [92, 103]}]",,2
8,I had to erase my harddrive and reinstall all my apps. I reinstalled #Dropbox and now ALL MY FILES are gone. Help! @DropboxSupport https://t.co/ybzs19WZqL,"[{'screen_name': 'DropboxSupport', 'name': 'Dropbox Support', 'id': 51259915, 'id_str': '51259915', 'indices': [115, 130]}]",,2
9,Thanking @DropboxSupport for an EXCELLENT customer service experience via email for the last couple of days. Many thanks to JC for assistance! #dropbox ❤️,"[{'screen_name': 'DropboxSupport', 'name': 'Dropbox Support', 'id': 51259915, 'id_str': '51259915', 'indices': [9, 24]}]",,2
10,"Hi folks: I know this should be simple, but I'm an old fart and can't make it work simply. Is v 57.4.89 compatible with OS 10.10.5 I'm not seeing things the help menu mentions @DropboxSupport","[{'screen_name': 'DropboxSupport', 'name': 'Dropbox Support', 'id': 51259915, 'id_str': '51259915', 'indices': [176, 191]}]",,2
11,"Is there a direct line or human we can speak with?? Someone from your support emailed but did not return any more emails after they said they are ""researching the matter"". Seriously. @DropboxSupport https://t.co/ghFPClDbbB","[{'screen_name': 'DropboxSupport', 'name': 'Dropbox Support', 'id': 51259915, 'id_str': '51259915', 'indices': [183, 198]}]",,2
12,I bought a massive 1tb @Dropbox @DropboxSupport package hoping naively that my family could use a folder as their backup too from their laptops but it seems that you can't share it or even buy a family package 🙄- it seems like you might be missing a trick here Dropbox!,"[{'screen_name': 'Dropbox', 'name': 'Dropbox', 'id': 14749606, 'id_str': '14749606', 'indices': [23, 31]}, {'screen_name': 'DropboxSupport', 'name': 'Dropbox Support', 'id': 51259915, 'id_str': '51259915', 'indices': [32, 47]}]",,2
13,"Hey @DropboxSupport, maybe I'm spoiled but my password reset email hasn't come in in a hot minute. Is everything up and running like normal?","[{'screen_name': 'DropboxSupport', 'name': 'Dropbox Support', 'id': 51259915, 'id_str': '51259915', 'indices': [4, 19]}]",,2
14,Just discovered @Dropbox has been chewing up all my mobile data. 80% of my monthly allowance gone in the last few days. Any known issues in iOS12 @DropboxSupport? https://t.co/XzeAXoEqgG,"[{'screen_name': 'Dropbox', 'name': 'Dropbox', 'id': 14749606, 'id_str': '14749606', 'indices': [16, 24]}, {'screen_name': 'DropboxSupport', 'name': 'Dropbox Support', 'id': 51259915, 'id_str': '51259915', 'indices': [146, 161]}]",,2
15,I can't get any of my @dropbox Paper docs to load. @DropboxSupport: your status page says all systems are go. Please help...?,"[{'screen_name': 'Dropbox', 'name': 'Dropbox', 'id': 14749606, 'id_str': '14749606', 'indices': [22, 30]}, {'screen_name': 'DropboxSupport', 'name': 'Dropbox Support', 'id': 51259915, 'id_str': '51259915', 'indices': [51, 66]}]",,2
16,Hey @DropboxSupport I thought you might want to be aware &amp; try to be consistent in removing functionality &amp; ripping off your customers while making them want to switch storage providers Just an FYI (btw thanks so much 4 removing that feature... I've only been paying for years. ) https://t.co/WkykG0yASV,"[{'screen_name': 'DropboxSupport', 'name': 'Dropbox Support', 'id': 51259915, 'id_str': '51259915', 'indices': [4, 19]}]",,2
17,"Tenía una cuenta en Dropbox que usaba para respaldar videos y fotos viejos que tenía. Resulta que me la cerraron hace poco y al parecer es irrecuperable.
Gracias, @Dropbox, @DropboxSupport, me hicieron perder videos de los mejores años de mi vida.","[{'screen_name': 'Dropbox', 'name': 'Dropbox', 'id': 14749606, 'id_str': '14749606', 'indices': [163, 171]}, {'screen_name': 'DropboxSupport', 'name': 'Dropbox Support', 'id': 51259915, 'id_str': '51259915', 'indices': [173, 188]}]",,2
18,"Hello. @DropboxSupport is there no way to rename devices that are connected, in my settings? I used to be able  to. Thx. https://t.co/xfxOxIzLZk","[{'screen_name': 'DropboxSupport', 'name': 'Dropbox Support', 'id': 51259915, 'id_str': '51259915', 'indices': [7, 22]}]",,2
19,"View your Dropbox files, folders, images, movies and PDF on your @AppleTV. Download now: https://t.co/K0wTlVrzDn
Your Storage on @AppleTV 
@Dropbox @DropboxSupport @Apple @ituitems @musicxposure1 @AppTweak @apppromotion @AppStore #MondayMotivation #MondayMood #DOWNLOAD #support","[{'screen_name': 'AppleTV', 'name': 'Apple TV', 'id': 82652901, 'id_str': '82652901', 'indices': [65, 73]}, {'screen_name': 'AppleTV', 'name': 'Apple TV', 'id': 82652901, 'id_str': '82652901', 'indices': [129, 137]}, {'screen_name': 'Dropbox', 'name': 'Dropbox', 'id': 14749606, 'id_str': '14749606', 'indices': [139, 147]}, {'screen_name': 'DropboxSupport', 'name': 'Dropbox Support', 'id': 51259915, 'id_str': '51259915', 'indices': [148, 163]}, {'screen_name': 'Apple', 'name': 'Apple', 'id': 380749300, 'id_str': '380749300', 'indices': [164, 170]}, {'screen_name': 'ituitems', 'name': 'iTunes Items', 'id': 1228840274, 'id_str': '1228840274', 'indices': [171, 180]}, {'screen_name': 'musicxposure1', 'name': 'iTunes Exposure', 'id': 363297804, 'id_str': '363297804', 'indices': [181, 195]}, {'screen_name': 'AppTweak', 'name': 'AppTweak', 'id': 1003644973, 'id_str': '1003644973', 'indices': [196, 205]}, {'screen_name': 'apppromotion', 'name': 'App Promotion Summit', 'id': 1318383733, 'id_str': '1318383733', 'indices': [206, 219]}, {'screen_name': 'AppStore', 'name': 'App Store', 'id': 74594552, 'id_str': '74594552', 'indices': [220, 229]}]",,2
20,"1, 2, 3, 4, 5, SIX screens each with multiple choice questions, precisely designed to prevent you from downgrading @Dropbox @DropboxSupport. Wow... just spam. This is why Dropbox sucks - ‘90s are over, move on.","[{'screen_name': 'Dropbox', 'name': 'Dropbox', 'id': 14749606, 'id_str': '14749606', 'indices': [115, 123]}, {'screen_name': 'DropboxSupport', 'name': 'Dropbox Support', 'id': 51259915, 'id_str': '51259915', 'indices': [124, 139]}]",,2
