,text,mentions,choose_one,class_label
0,"Thank you, @FedEx and @bbraun_com for hosting our annual #China #MedTech dinner!  So great to catch up with friends old and new. @AdvaMedUpdate #MedTechCon @RalphIves https://t.co/elkBeJ2c6A","[{'screen_name': 'FedEx', 'name': 'FedEx', 'id': 134887156, 'id_str': '134887156', 'indices': [11, 17]}, {'screen_name': 'bbraun_com', 'name': 'B. Braun Global', 'id': 147944562, 'id_str': '147944562', 'indices': [22, 33]}, {'screen_name': 'AdvaMedUpdate', 'name': 'AdvaMed', 'id': 21795874, 'id_str': '21795874', 'indices': [129, 143]}, {'screen_name': 'RalphIves', 'name': 'RIves_AdvaMedGlobal', 'id': 1074008660, 'id_str': '1074008660', 'indices': [156, 166]}]",,2
1,Lawd @FedEx is slow child.,"[{'screen_name': 'FedEx', 'name': 'FedEx', 'id': 134887156, 'id_str': '134887156', 'indices': [5, 11]}]",,2
2,Who's got your vote? Deliver your pick for the @FedEx #AirandGround @NFL Players of the Week on https://t.co/0nAhYYBe2N or the @NFL Twitter poll! https://t.co/0nAhYYBe2N,"[{'screen_name': 'FedEx', 'name': 'FedEx', 'id': 134887156, 'id_str': '134887156', 'indices': [47, 53]}, {'screen_name': 'NFL', 'name': 'NFL', 'id': 19426551, 'id_str': '19426551', 'indices': [68, 72]}, {'screen_name': 'NFL', 'name': 'NFL', 'id': 19426551, 'id_str': '19426551', 'indices': [127, 131]}]",,2
3,When @FedEx delivers a smashed package of pet food so the sender kindly replaces the order and then #FedEx loses the 2nd delivery and 2 weeks later someone down the street tells you its been sitting in their lobby and you open said box and AGAIN the contents are smashed open: https://t.co/bvezHbUr0Y,"[{'screen_name': 'FedEx', 'name': 'FedEx', 'id': 134887156, 'id_str': '134887156', 'indices': [5, 11]}]",,2
4,"Who's got your vote? Deliver your pick for the @FedEx #AirandGround @NFL Players of the Week on https://t.co/8BnQnGQXNm or the @NFL Twitter poll! https://t.co/8BnQnGQXNm
# 22 @run__cmc of course!!!!","[{'screen_name': 'FedEx', 'name': 'FedEx', 'id': 134887156, 'id_str': '134887156', 'indices': [47, 53]}, {'screen_name': 'NFL', 'name': 'NFL', 'id': 19426551, 'id_str': '19426551', 'indices': [68, 72]}, {'screen_name': 'NFL', 'name': 'NFL', 'id': 19426551, 'id_str': '19426551', 'indices': [127, 131]}, {'screen_name': 'run__cmc', 'name': 'Christian McCaffrey', 'id': 855680342, 'id_str': '855680342', 'indices': [175, 184]}]",,2
5,I really wish Dell didn’t use @FedEx to send my replacement stuff from the fire. They have been nothing but aggravating to deal with. I just want the replacements.,"[{'screen_name': 'FedEx', 'name': 'FedEx', 'id': 134887156, 'id_str': '134887156', 'indices': [30, 36]}]",,2
6,Who's got your vote? Deliver your pick for the @FedEx #AirandGround @NFL Players of the Week on https://t.co/A7V581e8qg or the @NFL Twitter poll! https://t.co/A7V581e8qg,"[{'screen_name': 'FedEx', 'name': 'FedEx', 'id': 134887156, 'id_str': '134887156', 'indices': [47, 53]}, {'screen_name': 'NFL', 'name': 'NFL', 'id': 19426551, 'id_str': '19426551', 'indices': [68, 72]}, {'screen_name': 'NFL', 'name': 'NFL', 'id': 19426551, 'id_str': '19426551', 'indices': [127, 131]}]",,2
7,Who's got your vote? Deliver your pick for the @FedEx #AirandGround @NFL Players of the Week on https://t.co/nNSy47wZtm or the @NFL Twitter poll!,"[{'screen_name': 'FedEx', 'name': 'FedEx', 'id': 134887156, 'id_str': '134887156', 'indices': [47, 53]}, {'screen_name': 'NFL', 'name': 'NFL', 'id': 19426551, 'id_str': '19426551', 'indices': [68, 72]}, {'screen_name': 'NFL', 'name': 'NFL', 'id': 19426551, 'id_str': '19426551', 'indices': [127, 131]}]",,2
8,first @blueapron arrived from @FedEx looking like this... https://t.co/sSoH300JwH,"[{'screen_name': 'blueapron', 'name': 'Blue Apron', 'id': 714441955, 'id_str': '714441955', 'indices': [6, 16]}, {'screen_name': 'FedEx', 'name': 'FedEx', 'id': 134887156, 'id_str': '134887156', 'indices': [30, 36]}]",,2
9,#GoSaints⚜️ Drew Brees Who's got your vote? Deliver your pick for the @FedEx #AirandGround @NFL Players of the Week on https://t.co/D1m1EgLah5 or the @NFL Twitter poll! https://t.co/D1m1EgLah5,"[{'screen_name': 'FedEx', 'name': 'FedEx', 'id': 134887156, 'id_str': '134887156', 'indices': [70, 76]}, {'screen_name': 'NFL', 'name': 'NFL', 'id': 19426551, 'id_str': '19426551', 'indices': [91, 95]}, {'screen_name': 'NFL', 'name': 'NFL', 'id': 19426551, 'id_str': '19426551', 'indices': [150, 154]}]",,2
10,Who's got your vote? Deliver your pick for the @FedEx #AirandGround @NFL Players of the Week on https://t.co/Pei8PvQCDf or the @NFL Twitter poll!,"[{'screen_name': 'FedEx', 'name': 'FedEx', 'id': 134887156, 'id_str': '134887156', 'indices': [47, 53]}, {'screen_name': 'NFL', 'name': 'NFL', 'id': 19426551, 'id_str': '19426551', 'indices': [68, 72]}, {'screen_name': 'NFL', 'name': 'NFL', 'id': 19426551, 'id_str': '19426551', 'indices': [127, 131]}]",,2
11,Hey @FedEx nice job!! @FedExHelp https://t.co/yTiYGi1R2B,"[{'screen_name': 'FedEx', 'name': 'FedEx', 'id': 134887156, 'id_str': '134887156', 'indices': [4, 10]}, {'screen_name': 'FedExHelp', 'name': 'FedEx Help', 'id': 952293073, 'id_str': '952293073', 'indices': [22, 32]}]",,2
12,🙏 Thank you to the #SupplyChain #Risk Leadership Council &amp; @Zurich for inviting me to represent @ecovadis to present on #Sustainable #Procurement in #Chicago. It was great to reconnect with friends from @GM @JNJNews @McDonalds @FedEx &amp; @EnvDefenseFund #NowIsTheTime https://t.co/De01wEq02r,"[{'screen_name': 'Zurich', 'name': 'Zurich Insurance', 'id': 101775528, 'id_str': '101775528', 'indices': [63, 70]}, {'screen_name': 'ecovadis', 'name': 'EcoVadis', 'id': 37875653, 'id_str': '37875653', 'indices': [100, 109]}, {'screen_name': 'GM', 'name': 'General Motors', 'id': 10850192, 'id_str': '10850192', 'indices': [207, 210]}, {'screen_name': 'JNJNews', 'name': 'Johnson & Johnson', 'id': 20457806, 'id_str': '20457806', 'indices': [211, 219]}, {'screen_name': 'McDonalds', 'name': ""McDonald's"", 'id': 71026122, 'id_str': '71026122', 'indices': [220, 230]}, {'screen_name': 'FedEx', 'name': 'FedEx', 'id': 134887156, 'id_str': '134887156', 'indices': [231, 237]}, {'screen_name': 'EnvDefenseFund', 'name': 'EDF', 'id': 20068053, 'id_str': '20068053', 'indices': [244, 259]}]",,2
13,So this is now the 3rd day @FedEx has “assured” me that my package would be here by the end of the day. So guess what now here I am 2 weeks over the original delivery date and still no package. Called the Fayetteville office put it on hold and I’ll be picking it up tomorrow,"[{'screen_name': 'FedEx', 'name': 'FedEx', 'id': 134887156, 'id_str': '134887156', 'indices': [27, 33]}]",,2
14,Who's got your vote? Deliver your pick for the @FedEx #AirandGround @NFL Players of the Week on https://t.co/c9j4XEqG3R or the @NFL Twitter poll! https://t.co/c9j4XEqG3R,"[{'screen_name': 'FedEx', 'name': 'FedEx', 'id': 134887156, 'id_str': '134887156', 'indices': [47, 53]}, {'screen_name': 'NFL', 'name': 'NFL', 'id': 19426551, 'id_str': '19426551', 'indices': [68, 72]}, {'screen_name': 'NFL', 'name': 'NFL', 'id': 19426551, 'id_str': '19426551', 'indices': [127, 131]}]",,2
15,"Any time I order something and @FedEx is the one to deliver it, it gets stolen. LOL OF COURSE. Ug.","[{'screen_name': 'FedEx', 'name': 'FedEx', 'id': 134887156, 'id_str': '134887156', 'indices': [31, 37]}]",,2
16,HEY @FedEx tell your driver to come back w my vacuum !!!!!!!!!!!!!!!!!,"[{'screen_name': 'FedEx', 'name': 'FedEx', 'id': 134887156, 'id_str': '134887156', 'indices': [4, 10]}]",,2
17,VOTE BREES FOOL! Deliver your pick for the @FedEx #AirandGround @NFL Players of the Week on https://t.co/R7XRkBzjg3 or the @NFL Twitter poll!,"[{'screen_name': 'FedEx', 'name': 'FedEx', 'id': 134887156, 'id_str': '134887156', 'indices': [43, 49]}, {'screen_name': 'NFL', 'name': 'NFL', 'id': 19426551, 'id_str': '19426551', 'indices': [64, 68]}, {'screen_name': 'NFL', 'name': 'NFL', 'id': 19426551, 'id_str': '19426551', 'indices': [123, 127]}]",,2
18,Who's got your vote? Deliver your pick for the @FedEx #AirandGround @NFL Players of the Week on https://t.co/0wK2Iornny or the @NFL Twitter poll! https://t.co/0wK2Iornny,"[{'screen_name': 'FedEx', 'name': 'FedEx', 'id': 134887156, 'id_str': '134887156', 'indices': [47, 53]}, {'screen_name': 'NFL', 'name': 'NFL', 'id': 19426551, 'id_str': '19426551', 'indices': [68, 72]}, {'screen_name': 'NFL', 'name': 'NFL', 'id': 19426551, 'id_str': '19426551', 'indices': [127, 131]}]",,2
19,"Who's got your vote? It better be  @run__cmc #KeepPounding 👊🏼

Deliver your pick for the @FedEx #AirandGround @NFL Players of the Week on https://t.co/Dw6sUkt5R6 or the @NFL Twitter poll! https://t.co/Dw6sUkt5R6","[{'screen_name': 'run__cmc', 'name': 'Christian McCaffrey', 'id': 855680342, 'id_str': '855680342', 'indices': [35, 44]}, {'screen_name': 'FedEx', 'name': 'FedEx', 'id': 134887156, 'id_str': '134887156', 'indices': [89, 95]}, {'screen_name': 'NFL', 'name': 'NFL', 'id': 19426551, 'id_str': '19426551', 'indices': [110, 114]}, {'screen_name': 'NFL', 'name': 'NFL', 'id': 19426551, 'id_str': '19426551', 'indices': [169, 173]}]",,2
20,"So @fedex driver lies about non-existent utility work and can’t deliver perishable package, then customer service does zero to help resolve. Super. Cc: @gobbleinc","[{'screen_name': 'FedEx', 'name': 'FedEx', 'id': 134887156, 'id_str': '134887156', 'indices': [3, 9]}, {'screen_name': 'gobbleinc', 'name': 'Gobble', 'id': 292631611, 'id_str': '292631611', 'indices': [152, 162]}]",,2
21,"In the new @FedEx commercials, they basically take credit for your good times and memories.  idk...seems like a pretty big leap for a company just dropping off packages, right?","[{'screen_name': 'FedEx', 'name': 'FedEx', 'id': 134887156, 'id_str': '134887156', 'indices': [11, 17]}]",,2
22,"I did not know about this but I believe everything I read on Twitter dot com

@Fedex is it true you are finally going to start paying us for all the public space you expropriate? https://t.co/jueQ7VFdih","[{'screen_name': 'FedEx', 'name': 'FedEx', 'id': 134887156, 'id_str': '134887156', 'indices': [78, 84]}]",,2
23,Disappointed in @Fanatics and  @FedEx my merchandise is just sitting in Phoenix waiting to be delivered since Sunday. They say I have to wait until Thursday. https://t.co/fKdMHPL03q,"[{'screen_name': 'Fanatics', 'name': 'Fanatics', 'id': 16787947, 'id_str': '16787947', 'indices': [16, 25]}, {'screen_name': 'FedEx', 'name': 'FedEx', 'id': 134887156, 'id_str': '134887156', 'indices': [31, 37]}]",,2
