,text,mentions,choose_one,class_label
0,"This new all-wheel drive system is faster than the human brain, thanks to #AI #tech, according to @Ford. #FordEdge https://t.co/51eneLGNcn","[{'screen_name': 'Ford', 'name': 'Ford Motor Company', 'id': 15676492, 'id_str': '15676492', 'indices': [98, 103]}]",,2
1,This would fasho be lit af keep me inform @Ford https://t.co/UXIrlWJnoI,"[{'screen_name': 'Ford', 'name': 'Ford Motor Company', 'id': 15676492, 'id_str': '15676492', 'indices': [42, 47]}]",,2
2,"Salesky a blue-collar engineer from Detroit took an unconventional path to becoming 1 of the masterminds of autonomous cars in a field dominated byStanford PhDs, has working class roots whose father worked at a steel mill #MotorCity never left me⁩ @Ford https://t.co/aFJB1gTEnM","[{'screen_name': 'Ford', 'name': 'Ford Motor Company', 'id': 15676492, 'id_str': '15676492', 'indices': [248, 253]}]",,2
3,2006 Ford F-250 on 20x10 Moto Metal Wheels style 962 with Black &amp; Milled Finish on Toyo Open Country MT tires size 37-1350-20 @FordQuebec @FordEu @FordCanada @forduk @Ford @ToyoTiresCanada @ToyoTires @TruckinMagazine @RoadandTrack @dubmagazine @MotoMetalWheels https://t.co/OvhtCuW8l6,"[{'screen_name': 'FordQuebec', 'name': 'FordQuebec', 'id': 288887754, 'id_str': '288887754', 'indices': [130, 141]}, {'screen_name': 'FordEu', 'name': 'Ford Europe', 'id': 102960410, 'id_str': '102960410', 'indices': [142, 149]}, {'screen_name': 'FordCanada', 'name': 'Ford Canada', 'id': 294296393, 'id_str': '294296393', 'indices': [150, 161]}, {'screen_name': 'forduk', 'name': 'Ford UK', 'id': 67617769, 'id_str': '67617769', 'indices': [162, 169]}, {'screen_name': 'Ford', 'name': 'Ford Motor Company', 'id': 15676492, 'id_str': '15676492', 'indices': [170, 175]}, {'screen_name': 'ToyoTiresCanada', 'name': 'Toyo Tires Canada', 'id': 260556764, 'id_str': '260556764', 'indices': [176, 192]}, {'screen_name': 'ToyoTires', 'name': 'Toyo Tires', 'id': 16630696, 'id_str': '16630696', 'indices': [193, 203]}, {'screen_name': 'TruckinMagazine', 'name': 'Truckin Magazine', 'id': 28750311, 'id_str': '28750311', 'indices': [204, 220]}, {'screen_name': 'RoadandTrack', 'name': 'Road & Track', 'id': 21200953, 'id_str': '21200953', 'indices': [221, 234]}, {'screen_name': 'dubmagazine', 'name': 'DUB Magazine', 'id': 15603688, 'id_str': '15603688', 'indices': [235, 247]}, {'screen_name': 'MotoMetalWheels', 'name': 'MotoMetal', 'id': 3449913498, 'id_str': '3449913498', 'indices': [248, 264]}]",,2
4,"This is my mom's 2017 @Ford F250, only 30k miles on it, after she experienced the, well known and documented, @Ford death wobble, and the truck she hit. https://t.co/jIQ1cclm6L","[{'screen_name': 'Ford', 'name': 'Ford Motor Company', 'id': 15676492, 'id_str': '15676492', 'indices': [22, 27]}, {'screen_name': 'Ford', 'name': 'Ford Motor Company', 'id': 15676492, 'id_str': '15676492', 'indices': [110, 115]}]",,2
5,"Lots of @Ford owners with a 2 inch pecker who do this shit!

#TuesdayThoughts #Kavanaugh #MAGA #Chevy https://t.co/8hNGlgWSFn","[{'screen_name': 'Ford', 'name': 'Ford Motor Company', 'id': 15676492, 'id_str': '15676492', 'indices': [8, 13]}]",,2
6,Disappointed with @Ford and how they are handling unusual wear on my steering wheel. 2 years old and the wheel is coming apart. My #F150 is garage kept and parked under cover at the office. Should not deteriorate like this so fast. Back to a premium brand for my next vehicle!,"[{'screen_name': 'Ford', 'name': 'Ford Motor Company', 'id': 15676492, 'id_str': '15676492', 'indices': [18, 23]}]",,2
7,Ok @Ford when are you guys going to stop using cheap parts on your trucks. Wheel bearings are a chronic repair job now.,"[{'screen_name': 'Ford', 'name': 'Ford Motor Company', 'id': 15676492, 'id_str': '15676492', 'indices': [3, 8]}]",,2
8,Date night with the @Ford #F250 https://t.co/KhE1SYDzim,"[{'screen_name': 'Ford', 'name': 'Ford Motor Company', 'id': 15676492, 'id_str': '15676492', 'indices': [20, 25]}]",,2
9,The #SuperDuty beast is in the barn in case we get the severe #storms they are talking about. @FordTrucks @Ford https://t.co/slIG7gLucT,"[{'screen_name': 'FordTrucks', 'name': 'Ford Trucks', 'id': 16243938, 'id_str': '16243938', 'indices': [94, 105]}, {'screen_name': 'Ford', 'name': 'Ford Motor Company', 'id': 15676492, 'id_str': '15676492', 'indices': [106, 111]}]",,2
10,"The @Ford #EdgeSt  looks great, but I'm still having a hard time adjusting to the idea of  the rotary shift knob. Maybe it's more intuitive in person once you get  used to it. https://t.co/YmFmvqG22V","[{'screen_name': 'Ford', 'name': 'Ford Motor Company', 'id': 15676492, 'id_str': '15676492', 'indices': [4, 9]}]",,2
11,Nice messages about how to run a company from Brunello Cucinelli company at #DF18 Remind me of Henry @Ford belief in paying workers well so they could afford to buy cars. (forgetting other aspects of Henry's history) https://t.co/wjUb7PPzXt,"[{'screen_name': 'Ford', 'name': 'Ford Motor Company', 'id': 15676492, 'id_str': '15676492', 'indices': [101, 106]}]",,2
12,Patiently waiting for the 2019 ranger #FordRanger @Ford,"[{'screen_name': 'Ford', 'name': 'Ford Motor Company', 'id': 15676492, 'id_str': '15676492', 'indices': [50, 55]}]",,2
13,.@Ford should tell the @GOP to sink #kavanaugh just to save their SEO,"[{'screen_name': 'Ford', 'name': 'Ford Motor Company', 'id': 15676492, 'id_str': '15676492', 'indices': [1, 6]}, {'screen_name': 'GOP', 'name': 'GOP', 'id': 11134252, 'id_str': '11134252', 'indices': [23, 27]}]",,2
14,One of these days I’m going to win!!!  @TexansTORO1 @Ford #dreamridewithToro https://t.co/sxwfdtPDIW,"[{'screen_name': 'TexansTORO1', 'name': 'TORO 🐃', 'id': 1861227696, 'id_str': '1861227696', 'indices': [39, 51]}, {'screen_name': 'Ford', 'name': 'Ford Motor Company', 'id': 15676492, 'id_str': '15676492', 'indices': [52, 57]}]",,2
15,Thank You Ford Motor Company.  A new DAV van to transport our veterans. @173rdAbnBde @AmericanLegion @VFWHQ @DAVHQ @Ford https://t.co/czEFfhUhkV,"[{'screen_name': '173rdAbnBde', 'name': '173rdAirborneBrigade', 'id': 3898305639, 'id_str': '3898305639', 'indices': [72, 84]}, {'screen_name': 'AmericanLegion', 'name': 'The American Legion', 'id': 27048645, 'id_str': '27048645', 'indices': [85, 100]}, {'screen_name': 'VFWHQ', 'name': 'VFW National HQ', 'id': 22650398, 'id_str': '22650398', 'indices': [101, 107]}, {'screen_name': 'DAVHQ', 'name': 'DAV National HQ', 'id': 22139417, 'id_str': '22139417', 'indices': [108, 114]}, {'screen_name': 'Ford', 'name': 'Ford Motor Company', 'id': 15676492, 'id_str': '15676492', 'indices': [115, 120]}]",,2
16,"Kids buy back Mustang dad sold to pay for cancer treatment: https://t.co/L0puzXirGJ
@Ford","[{'screen_name': 'Ford', 'name': 'Ford Motor Company', 'id': 15676492, 'id_str': '15676492', 'indices': [84, 89]}]",,2
17,The @Ford #F150 is built tough for both work and play. https://t.co/9DmQPVg3vr #BuiltFordTough #TruckTuesday https://t.co/8ETyfIxCUl,"[{'screen_name': 'Ford', 'name': 'Ford Motor Company', 'id': 15676492, 'id_str': '15676492', 'indices': [4, 9]}]",,2
18,We're thrilled to welcome @Ford Motor Company Fund to ANDE! #welovenewmembers #entrepreneurship #SGBs,"[{'screen_name': 'Ford', 'name': 'Ford Motor Company', 'id': 15676492, 'id_str': '15676492', 'indices': [26, 31]}]",,2
19,Also @Ford your locations should consider hiring people who aren't rude as hell because I don't appreciate attitude.,"[{'screen_name': 'Ford', 'name': 'Ford Motor Company', 'id': 15676492, 'id_str': '15676492', 'indices': [5, 10]}]",,2
20,Dear @Ford if you didn't gouge people just to get their cars fixed you would probably make more money... Sorry but some of us don't have 2000 sitting in out pockets for a part that can be purchased for a whole30 dollars,"[{'screen_name': 'Ford', 'name': 'Ford Motor Company', 'id': 15676492, 'id_str': '15676492', 'indices': [5, 10]}]",,2
21,Spent the day at #EPAinMI and no commitment yet from @ford. https://t.co/KtPPOsLiRw,"[{'screen_name': 'Ford', 'name': 'Ford Motor Company', 'id': 15676492, 'id_str': '15676492', 'indices': [53, 58]}]",,2
