,text,mentions,choose_one,class_label
0,"As much money as @Honda @HondaCustSvc makes and I can’t get less than $100 refunded?? Yeah, Honda’s are great cars but the customer service leaves a lot to be desired 🤷🏽‍♀️","[{'screen_name': 'Honda', 'name': 'Honda', 'id': 43430484, 'id_str': '43430484', 'indices': [17, 23]}, {'screen_name': 'HondaCustSvc', 'name': 'Honda Automobile Customer Service', 'id': 239943979, 'id_str': '239943979', 'indices': [24, 37]}]",,2
1,20 years of paint failure @HondaCustSvc @BBBTriCounties @AGJoshHawley @nytimes @6abc @tomkojt @hnafrank @biggpoppa916 @JulieD213 @hondapaintpeels @HnaFrank @Katefoleyfair @NewJerseyOAG @AngryConsumer_ @Jan3999 @PAAttorneyGen @nytimes @tomkojt @TMcSeesIt @Colazi @jerseygrl4phils https://t.co/A9d2YzCraF,"[{'screen_name': 'HondaCustSvc', 'name': 'Honda Automobile Customer Service', 'id': 239943979, 'id_str': '239943979', 'indices': [26, 39]}, {'screen_name': 'BBBTriCounties', 'name': 'BetterBusinessBureau', 'id': 42929352, 'id_str': '42929352', 'indices': [40, 55]}, {'screen_name': 'AGJoshHawley', 'name': 'AG Josh Hawley', 'id': 1525976077, 'id_str': '1525976077', 'indices': [56, 69]}, {'screen_name': 'nytimes', 'name': 'The New York Times', 'id': 807095, 'id_str': '807095', 'indices': [70, 78]}, {'screen_name': '6abc', 'name': 'Action News on 6abc', 'id': 18391051, 'id_str': '18391051', 'indices': [79, 84]}, {'screen_name': 'tomkojt', 'name': 'jeff tomko', 'id': 2468697691, 'id_str': '2468697691', 'indices': [85, 93]}, {'screen_name': 'HnaFrank', 'name': 'Frank Paluch', 'id': 1868976780, 'id_str': '1868976780', 'indices': [94, 103]}, {'screen_name': 'biggpoppa916', 'name': 'NYY SK SF49', 'id': 2367600446, 'id_str': '2367600446', 'indices': [104, 117]}, {'screen_name': 'JulieD213', 'name': '☆●Julie●☆', 'id': 158925086, 'id_str': '158925086', 'indices': [118, 128]}, {'screen_name': 'hondapaintpeels', 'name': 'Honda Paint', 'id': 2374491104, 'id_str': '2374491104', 'indices': [129, 145]}, {'screen_name': 'HnaFrank', 'name': 'Frank Paluch', 'id': 1868976780, 'id_str': '1868976780', 'indices': [146, 155]}, {'screen_name': 'Katefoleyfair', 'name': 'Kate Fair', 'id': 134284212, 'id_str': '134284212', 'indices': [156, 170]}, {'screen_name': 'NewJerseyOAG', 'name': 'AG Gurbir Grewal', 'id': 770671228059283456, 'id_str': '770671228059283456', 'indices': [171, 184]}, {'screen_name': 'AngryConsumer_', 'name': 'The Angry Consumer', 'id': 612578693, 'id_str': '612578693', 'indices': [185, 200]}, {'screen_name': 'Jan3999', 'name': 'Underdog', 'id': 3598642035, 'id_str': '3598642035', 'indices': [201, 209]}, {'screen_name': 'PAAttorneyGen', 'name': 'AG Josh Shapiro', 'id': 40931973, 'id_str': '40931973', 'indices': [210, 224]}, {'screen_name': 'nytimes', 'name': 'The New York Times', 'id': 807095, 'id_str': '807095', 'indices': [225, 233]}, {'screen_name': 'tomkojt', 'name': 'jeff tomko', 'id': 2468697691, 'id_str': '2468697691', 'indices': [234, 242]}, {'screen_name': 'TMcSeesIt', 'name': 'As_TMC_SeesIt', 'id': 834488010762833920, 'id_str': '834488010762833920', 'indices': [243, 253]}, {'screen_name': 'Colazi', 'name': 'Steve Davis', 'id': 160785564, 'id_str': '160785564', 'indices': [254, 261]}, {'screen_name': 'jerseygrl4phils', 'name': 'Joanne H.', 'id': 256722361, 'id_str': '256722361', 'indices': [262, 278]}]",,2
2,20 years of Honda paint failures.  Here are more consumers who are facing massive loss in value.  Nothing done for them either. @HondaCustSvc @PAAttorneyGen @nytimes @6abc @Channel4News @tomkojt @HnaFrank What is the loss per car?  What is the class action level of this?  $$$$$ https://t.co/7dl4gsJky6,"[{'screen_name': 'HondaCustSvc', 'name': 'Honda Automobile Customer Service', 'id': 239943979, 'id_str': '239943979', 'indices': [128, 141]}, {'screen_name': 'PAAttorneyGen', 'name': 'AG Josh Shapiro', 'id': 40931973, 'id_str': '40931973', 'indices': [142, 156]}, {'screen_name': 'nytimes', 'name': 'The New York Times', 'id': 807095, 'id_str': '807095', 'indices': [157, 165]}, {'screen_name': '6abc', 'name': 'Action News on 6abc', 'id': 18391051, 'id_str': '18391051', 'indices': [166, 171]}, {'screen_name': 'Channel4News', 'name': 'Channel 4 News', 'id': 14569869, 'id_str': '14569869', 'indices': [172, 185]}, {'screen_name': 'tomkojt', 'name': 'jeff tomko', 'id': 2468697691, 'id_str': '2468697691', 'indices': [186, 194]}, {'screen_name': 'HnaFrank', 'name': 'Frank Paluch', 'id': 1868976780, 'id_str': '1868976780', 'indices': [195, 204]}]",,2
3,"well here are 2017 paint complaints that sound like the 1996, 1998, 2000, 2003, 2004, 2005, 2006, 2007, 2008, 2009 2010, 2012, 2013............  @HondaCustSvc do you have anything to say to your customers?    How about all those being told they have to pay half ?   20 years !!!! https://t.co/DAJlsLxaBZ","[{'screen_name': 'HondaCustSvc', 'name': 'Honda Automobile Customer Service', 'id': 239943979, 'id_str': '239943979', 'indices': [145, 158]}]",,2
4,New problem I am having with our 2017 Honda CRV EXL. Look at he link. Others are having the same problem. What is the fix. @HondaCustSvc,"[{'screen_name': 'HondaCustSvc', 'name': 'Honda Automobile Customer Service', 'id': 239943979, 'id_str': '239943979', 'indices': [123, 136]}]",,2
5,"This is a first! I had a @Honda dealer refuse to sell me a car because I would not complete a post-sale survey. This happened after a signed contract and financing was complete. @HondaCustSvc is this customary? Random, yet true. I have #receipts.","[{'screen_name': 'Honda', 'name': 'Honda', 'id': 43430484, 'id_str': '43430484', 'indices': [25, 31]}, {'screen_name': 'HondaCustSvc', 'name': 'Honda Automobile Customer Service', 'id': 239943979, 'id_str': '239943979', 'indices': [178, 191]}]",,2
6,"After completing a sale, I just had a @Honda dealership to rescind the sale of the vehicle because I declined an offer to complete its post-sale survey. @HondaCustSvc, is this typical nowadays? This would have been my 4th Honda, and I had never had this experience before now.","[{'screen_name': 'Honda', 'name': 'Honda', 'id': 43430484, 'id_str': '43430484', 'indices': [38, 44]}, {'screen_name': 'HondaCustSvc', 'name': 'Honda Automobile Customer Service', 'id': 239943979, 'id_str': '239943979', 'indices': [153, 166]}]",,2
7,*THREAD* @HondaCustSvc reported to credit agencies I am 60 days *past due* on car payment. Said car was totaled on 6/23/18.  Representatives at #HondaFinancialServices have no idea what I'm talking about when I call so hopefully documentation paints a clearer picture?,"[{'screen_name': 'HondaCustSvc', 'name': 'Honda Automobile Customer Service', 'id': 239943979, 'id_str': '239943979', 'indices': [9, 22]}]",,2
8,20 years of paint failure @HondaCustSvc ;  here are just a few on Consumer Affairs showing up to 2018.  My other tweets show all the way back to 1996.  I can show a 1997 and a 2010 myself.   @BBBTriCounties @AGJoshHawley @nytimes @6abc @tomkojt @hnafrank @biggpoppa916 @JulieD213 https://t.co/RMQLJ9XabS,"[{'screen_name': 'HondaCustSvc', 'name': 'Honda Automobile Customer Service', 'id': 239943979, 'id_str': '239943979', 'indices': [26, 39]}, {'screen_name': 'BBBTriCounties', 'name': 'BetterBusinessBureau', 'id': 42929352, 'id_str': '42929352', 'indices': [191, 206]}, {'screen_name': 'AGJoshHawley', 'name': 'AG Josh Hawley', 'id': 1525976077, 'id_str': '1525976077', 'indices': [207, 220]}, {'screen_name': 'nytimes', 'name': 'The New York Times', 'id': 807095, 'id_str': '807095', 'indices': [221, 229]}, {'screen_name': '6abc', 'name': 'Action News on 6abc', 'id': 18391051, 'id_str': '18391051', 'indices': [230, 235]}, {'screen_name': 'tomkojt', 'name': 'jeff tomko', 'id': 2468697691, 'id_str': '2468697691', 'indices': [236, 244]}, {'screen_name': 'HnaFrank', 'name': 'Frank Paluch', 'id': 1868976780, 'id_str': '1868976780', 'indices': [245, 254]}, {'screen_name': 'biggpoppa916', 'name': 'NYY SK SF49', 'id': 2367600446, 'id_str': '2367600446', 'indices': [255, 268]}, {'screen_name': 'JulieD213', 'name': '☆●Julie●☆', 'id': 158925086, 'id_str': '158925086', 'indices': [269, 279]}]",,2
9,I strongly suggest no one ever buy a @Honda. Don’t know how in the world they have such a “good reputation” blows my mind @HondaCustSvc,"[{'screen_name': 'Honda', 'name': 'Honda', 'id': 43430484, 'id_str': '43430484', 'indices': [37, 43]}, {'screen_name': 'HondaCustSvc', 'name': 'Honda Automobile Customer Service', 'id': 239943979, 'id_str': '239943979', 'indices': [122, 135]}]",,2
