,text,mentions,choose_one,class_label
0,"A great day today at our first Global Scholars session with @CbusCCWA 
Our students and chaperones had a great time! We can't wait for the November session at @Honda in Marysville to learn about global careers! https://t.co/e7GpNd2ByM","[{'screen_name': 'CbusCCWA', 'name': 'Cbus World Affairs', 'id': 19250486, 'id_str': '19250486', 'indices': [60, 69]}, {'screen_name': 'Honda', 'name': 'Honda', 'id': 43430484, 'id_str': '43430484', 'indices': [159, 165]}]",,2
1,"#لاتلغون_تويوتا_الوجه
بما ان شركة تويوتا تريد ان تقفل ندعوا الشركات الذهبيه بالاستثمار ب #الوجه .
يوجد لدينا الموظفين الأكفاء لتشغيل الشركه و إنجاحها .
@ToyotaALJ 
@Honda 
@AlissaAutoKSA 
@nissansaudi 
@Nissan","[{'screen_name': 'ToyotaALJ', 'name': 'Toyota Saudi Arabia', 'id': 207938014, 'id_str': '207938014', 'indices': [152, 162]}, {'screen_name': 'Honda', 'name': 'Honda', 'id': 43430484, 'id_str': '43430484', 'indices': [164, 170]}, {'screen_name': 'AlissaAutoKSA', 'name': 'Alissa Auto - Nissan', 'id': 832705476, 'id_str': '832705476', 'indices': [172, 186]}, {'screen_name': 'nissansaudi', 'name': 'Nissan Saudi Arabia', 'id': 3444292581, 'id_str': '3444292581', 'indices': [188, 200]}, {'screen_name': 'Nissan', 'name': 'Nissan', 'id': 258730549, 'id_str': '258730549', 'indices': [202, 209]}]",,2
2,That Civic type R looking like a whole snack 👀 @Honda,"[{'screen_name': 'Honda', 'name': 'Honda', 'id': 43430484, 'id_str': '43430484', 'indices': [47, 53]}]",,2
3,"Wait wait wait, you can get better fuel mileage with a bigger fuel tank?? @subaru_usa is making more efficient crossovers with better fuel autonomy!  @Honda @Toyota @MazdaUSA @Nissan @GM @Ford @fcagroup and others should try harder to limit the number of visit to the gas station! https://t.co/susheWQDo2","[{'screen_name': 'subaru_usa', 'name': 'Subaru', 'id': 16529238, 'id_str': '16529238', 'indices': [74, 85]}, {'screen_name': 'Honda', 'name': 'Honda', 'id': 43430484, 'id_str': '43430484', 'indices': [150, 156]}, {'screen_name': 'Toyota', 'name': 'Toyota USA', 'id': 14219877, 'id_str': '14219877', 'indices': [157, 164]}, {'screen_name': 'MazdaUSA', 'name': 'Mazda USA', 'id': 88803528, 'id_str': '88803528', 'indices': [165, 174]}, {'screen_name': 'Nissan', 'name': 'Nissan', 'id': 258730549, 'id_str': '258730549', 'indices': [175, 182]}, {'screen_name': 'GM', 'name': 'General Motors', 'id': 10850192, 'id_str': '10850192', 'indices': [183, 186]}, {'screen_name': 'Ford', 'name': 'Ford Motor Company', 'id': 15676492, 'id_str': '15676492', 'indices': [187, 192]}, {'screen_name': 'fcagroup', 'name': 'FCA group', 'id': 45550539, 'id_str': '45550539', 'indices': [193, 202]}]",,2
4,"As much money as @Honda @HondaCustSvc makes and I can’t get less than $100 refunded?? Yeah, Honda’s are great cars but the customer service leaves a lot to be desired 🤷🏽‍♀️","[{'screen_name': 'Honda', 'name': 'Honda', 'id': 43430484, 'id_str': '43430484', 'indices': [17, 23]}, {'screen_name': 'HondaCustSvc', 'name': 'Honda Automobile Customer Service', 'id': 239943979, 'id_str': '239943979', 'indices': [24, 37]}]",,2
5,.@Honda volunteers helped support the Simon Kenton Pathfinders in building a bike trail that has helped revitalize a #Ohio community https://t.co/sWnxC9DCgT,"[{'screen_name': 'Honda', 'name': 'Honda', 'id': 43430484, 'id_str': '43430484', 'indices': [1, 7]}]",,2
6,"Any @OhioStateFB fan that’s driving out to State College this weekend for the game, and you’re in the market for a new @honda, feel free to stop @RahalHondaSC and pick up a new ride on game day and drive it home! 😜","[{'screen_name': 'OhioStateFB', 'name': 'Ohio State Football', 'id': 723239605823107072, 'id_str': '723239605823107072', 'indices': [4, 16]}, {'screen_name': 'Honda', 'name': 'Honda', 'id': 43430484, 'id_str': '43430484', 'indices': [119, 125]}, {'screen_name': 'RahalHondaSC', 'name': 'Bobby Rahal Honda SC', 'id': 725784486915526658, 'id_str': '725784486915526658', 'indices': [145, 158]}]",,2
7,"Ok twitter, trying to identify this car part from 9th gen Honda Civic. Aero fin seen on the rear quarter. Does ANYONE have a clue what it is because so far it has no name. Also @Honda_UK @honda I need four of them &amp; I’d like to officially name it “Finnegan” #HondaCivic #honda https://t.co/iq2z0IIEyk","[{'screen_name': 'Honda_UK', 'name': 'Honda UK', 'id': 22512451, 'id_str': '22512451', 'indices': [177, 186]}, {'screen_name': 'Honda', 'name': 'Honda', 'id': 43430484, 'id_str': '43430484', 'indices': [187, 193]}]",,2
8,"Always time for a Honda, right? @Kia @Kia_Motors @Honda @Acura #kia #kiasportage https://t.co/x2xeC1cNLN","[{'screen_name': 'Kia', 'name': 'Kia Motors America', 'id': 23689478, 'id_str': '23689478', 'indices': [32, 36]}, {'screen_name': 'Kia_Motors', 'name': 'Kia Motors Global', 'id': 41024430, 'id_str': '41024430', 'indices': [37, 48]}, {'screen_name': 'Honda', 'name': 'Honda', 'id': 43430484, 'id_str': '43430484', 'indices': [49, 55]}, {'screen_name': 'Acura', 'name': 'Acura', 'id': 24277513, 'id_str': '24277513', 'indices': [56, 62]}]",,2
9,3rd graders in @barney_amanda learned more about assembly lines using @DefinedSTEM &amp; @nearpod to design their #AMSTIworks car 🚘 assembly line plan. Then construction 🚧 began! @TCBOE_LES @TcboeE Thank You @Honda for sharing today!! https://t.co/d0ucMBPo0Q,"[{'screen_name': 'barney_amanda', 'name': 'Amanda  Barney', 'id': 82183695, 'id_str': '82183695', 'indices': [15, 29]}, {'screen_name': 'DefinedSTEM', 'name': 'Defined STEM', 'id': 59541361, 'id_str': '59541361', 'indices': [70, 82]}, {'screen_name': 'nearpod', 'name': 'Nearpod', 'id': 231176302, 'id_str': '231176302', 'indices': [89, 97]}, {'screen_name': 'TCBOE_LES', 'name': 'Lincoln Elementary', 'id': 2326380596, 'id_str': '2326380596', 'indices': [179, 189]}, {'screen_name': 'TcboeE', 'name': 'TCBOE Elem Ed', 'id': 1019600245116887040, 'id_str': '1019600245116887040', 'indices': [190, 197]}, {'screen_name': 'Honda', 'name': 'Honda', 'id': 43430484, 'id_str': '43430484', 'indices': [208, 214]}]",,2
