,,text,mentions,choose_one,class_label,,,
0,0,"*REWARD 4 ANY BLack KNigHt MUZIK LIBRARIES OR SONGS? THEY *(https://t.co/SCF2I4Qvmm)+BITCH BE UIAC UPWARDS $5000 COMPLETE OR PARTICAL?¿ fbi+cia+doj+gov 
@CivilRights @CivilRightsCH @bmi @RIAA @ASCAP @sesac @digitalrights @DMA_org @BBCTech @GooglePlayMusic  @fbsecurity @LinkedIn","[{'screen_name': 'CivilRights', 'name': 'DOJ Civil Rights', 'id': 221135570, 'id_str': '221135570', 'indices': [153, 165]}, {'screen_name': 'CivilRightsCH', 'name': 'Civil Rights CH', 'id': 565177080, 'id_str': '565177080', 'indices': [166, 180]}, {'screen_name': 'bmi', 'name': 'Broadcast Music Inc.', 'id': 14392252, 'id_str': '14392252', 'indices': [181, 185]}, {'screen_name': 'RIAA', 'name': 'RIAA', 'id': 487620060, 'id_str': '487620060', 'indices': [186, 191]}, {'screen_name': 'ASCAP', 'name': 'ASCAP', 'id': 31136855, 'id_str': '31136855', 'indices': [192, 198]}, {'screen_name': 'sesac', 'name': 'SESAC, Inc.', 'id': 55574387, 'id_str': '55574387', 'indices': [199, 205]}, {'screen_name': 'digitalrights', 'name': 'digitalrights', 'id': 18882562, 'id_str': '18882562', 'indices': [206, 220]}, {'screen_name': 'DMA_org', 'name': 'DigitalMediaAcademy', 'id': 18457641, 'id_str': '18457641', 'indices': [221, 229]}, {'screen_name': 'BBCTech', 'name': 'BBC Technology', 'id': 621583, 'id_str': '621583', 'indices': [230, 238]}, {'screen_name': 'GooglePlayMusic', 'name': 'Google Play Music', 'id': 3307218826, 'id_str': '3307218826', 'indices': [239, 255]}, {'screen_name': 'fbsecurity', 'name': 'Facebook Security', 'id': 69219328, 'id_str': '69219328', 'indices': [257, 268]}, {'screen_name': 'LinkedIn', 'name': 'LinkedIn', 'id': 13058772, 'id_str': '13058772', 'indices': [269, 278]}]",,2,,,
1,0,"Spent part of this rainy #DC afternoon talking to @NADAUpdate members about #digital #advocacy along with some great panelists from @twitter (@crush), @LinkedIn, and @google! Thanks, @AbramOlmstead, for putting together such a good group 🙌🏻 https://t.co/U4B8SkN3EE","[{'screen_name': 'NADAUpdate', 'name': 'NADA', 'id': 337941418, 'id_str': '337941418', 'indices': [50, 61]}, {'screen_name': 'Twitter', 'name': 'Twitter', 'id': 783214, 'id_str': '783214', 'indices': [132, 140]}, {'screen_name': 'crush', 'name': 'Caitlin Rush', 'id': 18808392, 'id_str': '18808392', 'indices': [142, 148]}, {'screen_name': 'LinkedIn', 'name': 'LinkedIn', 'id': 13058772, 'id_str': '13058772', 'indices': [151, 160]}, {'screen_name': 'Google', 'name': 'Google', 'id': 20536157, 'id_str': '20536157', 'indices': [166, 173]}, {'screen_name': 'AbramOlmstead', 'name': 'Abram Olmstead', 'id': 174307994, 'id_str': '174307994', 'indices': [183, 197]}]",,2,,,
2,0,"Love it or Hate It, It’s @TimSackett : Your Weekly Dose of HR Tech: @LinkedIn Talent Insights – LI's newest product! https://t.co/UNLEIoTBo4","[{'screen_name': 'TimSackett', 'name': 'Tim Sackett SCP,SPHR', 'id': 19343643, 'id_str': '19343643', 'indices': [25, 36]}, {'screen_name': 'LinkedIn', 'name': 'LinkedIn', 'id': 13058772, 'id_str': '13058772', 'indices': [68, 77]}]",,2,,,
3,0,How cool to see this @Office365 integration with @LinkedIn! https://t.co/9twU0olEQt,"[{'screen_name': 'Office365', 'name': 'Office 365', 'id': 137365854, 'id_str': '137365854', 'indices': [21, 31]}, {'screen_name': 'LinkedIn', 'name': 'LinkedIn', 'id': 13058772, 'id_str': '13058772', 'indices': [49, 58]}]",,2,,,
4,0,"@""From Venice to the world: restoring heritage and unlocking people’s potential"" https://t.co/rQTS9jtboY sur @LinkedIn","[{'screen_name': 'LinkedIn', 'name': 'LinkedIn', 'id': 13058772, 'id_str': '13058772', 'indices': [109, 118]}]",,2,,,
5,0,"@""La inflación sube menos de lo esperado; Google lanza programa de pasantías en México y otras noticias"" https://t.co/kF9Gvzxq9i en @LinkedIn","[{'screen_name': 'LinkedIn', 'name': 'LinkedIn', 'id': 13058772, 'id_str': '13058772', 'indices': [132, 141]}]",,2,,,
6,0,"Psst!
https://t.co/rdPoh8gNbP.
#Illuminati #nwo #world #news #nowplaying @LinkedIn #in #GooglePlus. https://t.co/loUbV44I1a","[{'screen_name': 'LinkedIn', 'name': 'LinkedIn', 'id': 13058772, 'id_str': '13058772', 'indices': [73, 82]}]",,2,,,
7,0,"@""PRIVATE INVESTIGATORS AND DRONES. WHAT ARE THE MISCONCEPTIONS AND LIMITATIONS ON USE? "" https://t.co/clyLvT0Pji on @LinkedIn","[{'screen_name': 'LinkedIn', 'name': 'LinkedIn', 'id': 13058772, 'id_str': '13058772', 'indices': [117, 126]}]",,2,,,
8,1,why does this happen every time i try to upload a video to @LinkedIn? @LinkedInHelp https://t.co/8Nx8GOLFxx,"[{'screen_name': 'LinkedIn', 'name': 'LinkedIn', 'id': 13058772, 'id_str': '13058772', 'indices': [59, 68]}, {'screen_name': 'LinkedInHelp', 'name': 'LinkedIn Help', 'id': 252792134, 'id_str': '252792134', 'indices': [70, 83]}]",,2,,,
9,0,Nice summary of ⁦@LinkedIn⁩ is doing with their latest product #talent insights ⁦@TimSackett⁩ #recruitment #HRTech  https://t.co/1dmg4Et5fy,"[{'screen_name': 'LinkedIn', 'name': 'LinkedIn', 'id': 13058772, 'id_str': '13058772', 'indices': [17, 26]}, {'screen_name': 'TimSackett', 'name': 'Tim Sackett SCP,SPHR', 'id': 19343643, 'id_str': '19343643', 'indices': [81, 92]}]",,2,,,
10,1,By far the most ignorance on any social platform lives on @LinkedIn,"[{'screen_name': 'LinkedIn', 'name': 'LinkedIn', 'id': 13058772, 'id_str': '13058772', 'indices': [58, 67]}]",,2,,,
11,0,"@""Elise Lucet &amp; la charte de Munich"" https://t.co/NE13EkDsgB sur @LinkedIn","[{'screen_name': 'LinkedIn', 'name': 'LinkedIn', 'id': 13058772, 'id_str': '13058772', 'indices': [69, 78]}]",,2,,,
12,0,"#infosec #Cyber ""10 very good reasons you should know your #NIST score!"" https://t.co/ZX8Nw8cOQR by @smesecurity on @LinkedIn","[{'screen_name': 'smesecurity', 'name': 'Roger Smith', 'id': 168393498, 'id_str': '168393498', 'indices': [100, 112]}, {'screen_name': 'LinkedIn', 'name': 'LinkedIn', 'id': 13058772, 'id_str': '13058772', 'indices': [116, 125]}]",,2,,,
13,0,"""Cradlepoint: conectividad, movilidad, y alto valor añadido"" https://t.co/IWXZhbplaQ by @TEFengineer on @LinkedIn","[{'screen_name': 'TEFengineer', 'name': 'Leandro Pavón', 'id': 2253320970, 'id_str': '2253320970', 'indices': [88, 100]}, {'screen_name': 'LinkedIn', 'name': 'LinkedIn', 'id': 13058772, 'id_str': '13058772', 'indices': [104, 113]}]",,2,,,
14,0,60% of the time it works every time. https://t.co/4zkVrDxe2f via @Inc come to the @gwcareercenter career fair 9/28 to get a FREE HEADSHOT for your @LinkedIn profile!,"[{'screen_name': 'Inc', 'name': 'Inc.', 'id': 16896485, 'id_str': '16896485', 'indices': [65, 69]}, {'screen_name': 'gwcareercenter', 'name': 'GW Career Services', 'id': 14466627, 'id_str': '14466627', 'indices': [82, 97]}, {'screen_name': 'LinkedIn', 'name': 'LinkedIn', 'id': 13058772, 'id_str': '13058772', 'indices': [147, 156]}]",,2,,,
15,0,"""STRATEGIC HEALTH LEADERSHIP (SHELDR) THOUGHT LEADERSHIP SERIES Genesis of SHELDR: Part 1 (SHELDR Blog #2-2018)"" https://t.co/yobpURCFKa by @Doug_Anderson57 on @LinkedIn","[{'screen_name': 'Doug_Anderson57', 'name': 'Strategic HEalth LDR', 'id': 218281156, 'id_str': '218281156', 'indices': [140, 156]}, {'screen_name': 'LinkedIn', 'name': 'LinkedIn', 'id': 13058772, 'id_str': '13058772', 'indices': [160, 169]}]",,2,,,
