,text,mentions,choose_one,class_label
0,"TODAS NUESTRAS SUCURSALES CUENTAN CON TERMINAL BANCARIA

Bienvenidas todas las Tarjetas Bancarias de Débito y Crédito, @VISA y @mastercard
 
Aprovecha, con nosotros  encontrarás las mejores opciones para armar tus outfit´s  📿👗👚👠👡👖 
 
Inciso® ...va conmigo! https://t.co/eRtJVuYONL","[{'screen_name': 'Visa', 'name': 'Visa', 'id': 551373363, 'id_str': '551373363', 'indices': [119, 124]}, {'screen_name': 'Mastercard', 'name': 'Mastercard', 'id': 75014376, 'id_str': '75014376', 'indices': [127, 138]}]",,2
1,Very proud to have @Mastercard recognized as a Changemaker from the NYC Mayor’s office for our volunteering work and #Girls4Tech program @bestforNYC @mastercardnews @insidemastercrd #MCcares @laurenO #bestforNYC https://t.co/RWC73HbSta,"[{'screen_name': 'Mastercard', 'name': 'Mastercard', 'id': 75014376, 'id_str': '75014376', 'indices': [19, 30]}, {'screen_name': 'BestforNYC', 'name': 'Best for NYC', 'id': 3187496955, 'id_str': '3187496955', 'indices': [137, 148]}, {'screen_name': 'MastercardNews', 'name': 'Mastercard News', 'id': 36730070, 'id_str': '36730070', 'indices': [149, 164]}, {'screen_name': 'InsideMastercrd', 'name': 'Inside Mastercard', 'id': 2828668212, 'id_str': '2828668212', 'indices': [165, 181]}, {'screen_name': 'LaurenO', 'name': 'lauren o', 'id': 11419562, 'id_str': '11419562', 'indices': [191, 199]}]",,2
2,"Market IV: In IBD Leaderboard of top growth #stocks, 8 hail from the #nasdaq, 3 from #nyse. But the ""Big Board"" also holds some #tech and #business #services leaders: @Square @TransUnion @Visa @Mastercard. See all 11 Leaderboard names here https://t.co/zCxBi3o4Gq #charts $EW $TRU","[{'screen_name': 'Square', 'name': 'Square', 'id': 93017945, 'id_str': '93017945', 'indices': [167, 174]}, {'screen_name': 'TransUnion', 'name': 'TransUnion', 'id': 258921288, 'id_str': '258921288', 'indices': [175, 186]}, {'screen_name': 'Visa', 'name': 'Visa', 'id': 551373363, 'id_str': '551373363', 'indices': [187, 192]}, {'screen_name': 'Mastercard', 'name': 'Mastercard', 'id': 75014376, 'id_str': '75014376', 'indices': [193, 204]}]",,2
3,"#Miravos @Mastercard firmó convenio con League of Legends® #dice que como 1er socio global del eSport (y mais grande do mundo, algo así) #INFOmail basicamente socio global exclusivo de servicios de pagos para los eventos &amp; muy sponsor @MastercardArg","[{'screen_name': 'Mastercard', 'name': 'Mastercard', 'id': 75014376, 'id_str': '75014376', 'indices': [9, 20]}, {'screen_name': 'MastercardArg', 'name': 'Mastercard Argentina', 'id': 2471506896, 'id_str': '2471506896', 'indices': [239, 253]}]",,2
4,"We’re a 6 person team supporting thousands of AIs../@rajsivaraj1 of @Mastercard apologizes for notices popping up on his screen at #SpringOne 

You are excused!! 👏🏻 https://t.co/3R03Hcnago","[{'screen_name': 'RajSivaraj1', 'name': 'Raj Sivaraj', 'id': 1044625666686287872, 'id_str': '1044625666686287872', 'indices': [52, 64]}, {'screen_name': 'Mastercard', 'name': 'Mastercard', 'id': 75014376, 'id_str': '75014376', 'indices': [68, 79]}]",,2
5,"Who doesn't like free!? The #PUREChamp is finally here &amp; you don't want to miss out. 

Register for complimentary tickets courtesy of @Mastercard ➡️ https://t.co/fiYQ5Aqi95 https://t.co/tZxEaokcFr","[{'screen_name': 'Mastercard', 'name': 'Mastercard', 'id': 75014376, 'id_str': '75014376', 'indices': [138, 149]}]",,2
6,"#GoodwoodActorsGuild #GeorgeShuttleworth celebrates with @veuveclicquot , #GoodwoodStyle #Fashion #Racing #EnjoyTheRide @mastercard #Goodwood #Revival #GoodwoodRevival 
#M45T1N #M4TOGRAPHY #FeelMagazine #FestivalFocusSouth #FestivalsOfInstagram #Festival… https://t.co/HN58cvU9Xc https://t.co/c6ikB9XC2N","[{'screen_name': 'VeuveClicquot', 'name': 'Veuve Clicquot', 'id': 21406641, 'id_str': '21406641', 'indices': [57, 71]}, {'screen_name': 'Mastercard', 'name': 'Mastercard', 'id': 75014376, 'id_str': '75014376', 'indices': [120, 131]}]",,2
7,"#GoodwoodActorsGuild #GeorgeShuttleworth celebrates with @veuveclicquot , #GoodwoodStyle #Fashion #Racing #EnjoyTheRide @mastercard #Goodwood #Revival #GoodwoodRevival 
#M45T1N #M4TOGRAPHY #FeelMagazine #FestivalFocusSouth #FestivalsOfInstagram #FestivalPortfolio #Automotive… https://t.co/17TTNIKAzD","[{'screen_name': 'VeuveClicquot', 'name': 'Veuve Clicquot', 'id': 21406641, 'id_str': '21406641', 'indices': [57, 71]}, {'screen_name': 'Mastercard', 'name': 'Mastercard', 'id': 75014376, 'id_str': '75014376', 'indices': [120, 131]}]",,2
8,"Ready to fund your small business goals? Find out how you
could take your small business to the next level by entering the
#growyourbizcontest offered by @mastercard and in association with
@BofAtips for the chance to win $25,000. #ad Ends 9/30/18.https://t.co/Libc2UoeEd https://t.co/g4rcFfBGse","[{'screen_name': 'Mastercard', 'name': 'Mastercard', 'id': 75014376, 'id_str': '75014376', 'indices': [154, 165]}, {'screen_name': 'BofAtips', 'name': 'Bank of America', 'id': 3683989476, 'id_str': '3683989476', 'indices': [190, 199]}]",,2
9,"Very cool. Mastercard study finds #Toronto ranked fourth in North America for international visitors and first in Canada for 2017, w/ 5.12 million. Vancouver was 8th, Montreal 10th. Pretty impressive. @Mastercard @SeeTorontoNow #travel #TravelTuesday #tourism @TIAC_AITC https://t.co/TOatJS22IY","[{'screen_name': 'Mastercard', 'name': 'Mastercard', 'id': 75014376, 'id_str': '75014376', 'indices': [201, 212]}, {'screen_name': 'SeeTorontoNow', 'name': 'Tourism Toronto', 'id': 40918282, 'id_str': '40918282', 'indices': [213, 227]}, {'screen_name': 'TIAC_AITC', 'name': 'The TIAC Team', 'id': 93020616, 'id_str': '93020616', 'indices': [260, 270]}]",,2
