,text,mentions,choose_one,class_label
0,Excellent learning initiative for all! Thanks @Microsoft for starting this learning platform. #MSIgnite #cloudwarriors #AzureChamps @AzureCosmosDB @Azure https://t.co/t8PgutlQLD,"[{'screen_name': 'Microsoft', 'name': 'Microsoft', 'id': 74286565, 'id_str': '74286565', 'indices': [46, 56]}, {'screen_name': 'AzureCosmosDB', 'name': 'Azure Cosmos DB', 'id': 857476565436739584, 'id_str': '857476565436739584', 'indices': [132, 146]}, {'screen_name': 'Azure', 'name': 'Microsoft Azure', 'id': 17000457, 'id_str': '17000457', 'indices': [147, 153]}]",,2
1,Key @Microsoft #security moves at #Ignite2018. Freeing the world of passwords on Office 365 &amp; @Azure ecosystem apps? That &amp; more. $MSFT. @msspalert reports: https://t.co/z3cNtpguUJ,"[{'screen_name': 'Microsoft', 'name': 'Microsoft', 'id': 74286565, 'id_str': '74286565', 'indices': [4, 14]}, {'screen_name': 'Azure', 'name': 'Microsoft Azure', 'id': 17000457, 'id_str': '17000457', 'indices': [98, 104]}, {'screen_name': 'msspalert', 'name': 'MSSP Alert', 'id': 852116274268315649, 'id_str': '852116274268315649', 'indices': [145, 155]}]",,2
2,Key @Microsoft #security moves at #Ignite2018. Freeing the world of passwords on Office 365 and @Azure ecosystem apps? That &amp; more. $MSFT https://t.co/uUtgbl5zRS,"[{'screen_name': 'Microsoft', 'name': 'Microsoft', 'id': 74286565, 'id_str': '74286565', 'indices': [4, 14]}, {'screen_name': 'Azure', 'name': 'Microsoft Azure', 'id': 17000457, 'id_str': '17000457', 'indices': [96, 102]}]",,2
3,"In the course of adding an image to my report, @Microsoft #Word deleted a major section that took hours of research, organization, and creativity.  So crestfallen. :'(","[{'screen_name': 'Microsoft', 'name': 'Microsoft', 'id': 74286565, 'id_str': '74286565', 'indices': [47, 57]}]",,2
4,".@Microsoft, @nasscom, #govt launch programme to train #women in #cybersecurity
https://t.co/0xWdpaCwQQ","[{'screen_name': 'Microsoft', 'name': 'Microsoft', 'id': 74286565, 'id_str': '74286565', 'indices': [1, 11]}, {'screen_name': 'nasscom', 'name': 'NASSCOM', 'id': 17097223, 'id_str': '17097223', 'indices': [13, 21]}]",,2
5,"From the data center to the edge, @Intel and @Microsoft collaborate to drive #AI innovation. Learn more: https://t.co/zT5732dvBU #MSIgnite https://t.co/xT50uskQic","[{'screen_name': 'intel', 'name': 'Intel', 'id': 2803191, 'id_str': '2803191', 'indices': [34, 40]}, {'screen_name': 'Microsoft', 'name': 'Microsoft', 'id': 74286565, 'id_str': '74286565', 'indices': [45, 55]}]",,2
6,Join us at #PSConfAsia and see @glennsarti - Beyond Pester 101: Applying testing principles to PowerShell. Details here https://t.co/unnRDKDuvB Singapore 18-20 October @Microsoft_SG @Microsoft #PowerShell @PSPester https://t.co/2V7B60whnk,"[{'screen_name': 'GlennSarti', 'name': 'Glenn Sarti', 'id': 1746227564, 'id_str': '1746227564', 'indices': [31, 42]}, {'screen_name': 'Microsoft_SG', 'name': 'Microsoft Singapore', 'id': 229311774, 'id_str': '229311774', 'indices': [168, 181]}, {'screen_name': 'Microsoft', 'name': 'Microsoft', 'id': 74286565, 'id_str': '74286565', 'indices': [182, 192]}, {'screen_name': 'PSPester', 'name': 'Pester', 'id': 2795521265, 'id_str': '2795521265', 'indices': [205, 214]}]",,2
7,"Openness matters: The new Open Data Initiative from @SAP, @Adobe, &amp; @Microsoft https://t.co/On7tNjmszf @futureofcec","[{'screen_name': 'SAP', 'name': 'SAP', 'id': 76117579, 'id_str': '76117579', 'indices': [52, 56]}, {'screen_name': 'Adobe', 'name': 'Adobe', 'id': 63786611, 'id_str': '63786611', 'indices': [58, 64]}, {'screen_name': 'Microsoft', 'name': 'Microsoft', 'id': 74286565, 'id_str': '74286565', 'indices': [72, 82]}, {'screen_name': 'FutureOfCEC', 'name': 'Future of CEC', 'id': 63120077, 'id_str': '63120077', 'indices': [107, 119]}]",,2
8,Trying to create a bootable USB Stick with the Windows 10 Media creation tool so I can reinstall windows and maybe free up some space on my @HP Stream X360.. Why does it need 8GB of Space on the C: drive? I cannot upgrade and I cannot reinstall.. Great work @Microsoft,"[{'screen_name': 'HP', 'name': 'HP', 'id': 17193794, 'id_str': '17193794', 'indices': [140, 143]}, {'screen_name': 'Microsoft', 'name': 'Microsoft', 'id': 74286565, 'id_str': '74286565', 'indices': [258, 268]}]",,2
9,See how @Telefonica easily built a natural language bot to engage its 346 million customers with @Microsoft #artificialintelligence (AI). https://t.co/bf5tbcUBjY,"[{'screen_name': 'Telefonica', 'name': 'Telefónica', 'id': 61744008, 'id_str': '61744008', 'indices': [8, 19]}, {'screen_name': 'Microsoft', 'name': 'Microsoft', 'id': 74286565, 'id_str': '74286565', 'indices': [97, 107]}]",,2
