,text,mentions,choose_one,class_label
0,"Meine Jordan 1's in Pine Green gerade bekommen, aber die Box ist einfach beschädigt? Zum Sneaker gehört die Box einfach dazu und sollte unbeschädigt bei einem ankommen? @NikeDe @NikeSupport https://t.co/pS5y2J0Exm","[{'screen_name': 'NikeDe', 'name': 'Nike DE', 'id': 392693264, 'id_str': '392693264', 'indices': [169, 176]}, {'screen_name': 'NikeSupport', 'name': 'Nike Support', 'id': 14462333, 'id_str': '14462333', 'indices': [177, 189]}]",,2
1,"Hey @NikeCanada, my Nike AirMax Air bubble literally exploded today on the treadmill @OrangeTheoryYVR and I injured my foot! This is a shoe I wear twice a week that I bought in May and I paid $200 for! What gives? @Nike @NikeSupport https://t.co/pXwv1t5By1","[{'screen_name': 'NikeCanada', 'name': 'Nike Canada', 'id': 93042301, 'id_str': '93042301', 'indices': [4, 15]}, {'screen_name': 'OrangeTheoryYVR', 'name': 'Orangetheory Fitness', 'id': 2432568739, 'id_str': '2432568739', 'indices': [85, 101]}, {'screen_name': 'Nike', 'name': 'Nike', 'id': 415859364, 'id_str': '415859364', 'indices': [214, 219]}, {'screen_name': 'NikeSupport', 'name': 'Nike Support', 'id': 14462333, 'id_str': '14462333', 'indices': [220, 232]}]",,2
2,C’mon man. Two wears?!?! You gotta be kidding me. What y’all making these Jordan 1’s with? I need answers! Smh #DISAPPOINTED @nikestore @Jumpman23 @nikebasketball @Nike @NikeSupport #Nike #Jordan https://t.co/aUSjd4f7D9,"[{'screen_name': 'nikestore', 'name': 'Nike.com', 'id': 17351972, 'id_str': '17351972', 'indices': [125, 135]}, {'screen_name': 'Jumpman23', 'name': 'Jordan', 'id': 198975780, 'id_str': '198975780', 'indices': [136, 146]}, {'screen_name': 'nikebasketball', 'name': 'Nike Basketball', 'id': 5885732, 'id_str': '5885732', 'indices': [147, 162]}, {'screen_name': 'Nike', 'name': 'Nike', 'id': 415859364, 'id_str': '415859364', 'indices': [163, 168]}, {'screen_name': 'NikeSupport', 'name': 'Nike Support', 'id': 14462333, 'id_str': '14462333', 'indices': [169, 181]}]",,2
3,Hola buena tarde quisiera saber si me pueden ayudar con mi cuenta nike+ run club @NikeSupport,"[{'screen_name': 'NikeSupport', 'name': 'Nike Support', 'id': 14462333, 'id_str': '14462333', 'indices': [81, 93]}]",,2
4,"Hey @NikeSupport I bought this ACG level 3 jacket over 20 years ago! (1997 I think). It survived each Canadian winter since (up mountains. Snowstorms. Hail.) and has survived it all. I’m so sad that today I found the first thing to break from this, my favourite jacket. Any help? https://t.co/PvyFaBib9C","[{'screen_name': 'NikeSupport', 'name': 'Nike Support', 'id': 14462333, 'id_str': '14462333', 'indices': [4, 16]}]",,2
5,Hey @NikeSupport @nikestore @Nike I love this Nike #zoomfly #nikezoomfly but how is possible I’m loosing the heel in less than 50km ?? https://t.co/KGzD98Jlgr,"[{'screen_name': 'NikeSupport', 'name': 'Nike Support', 'id': 14462333, 'id_str': '14462333', 'indices': [4, 16]}, {'screen_name': 'nikestore', 'name': 'Nike.com', 'id': 17351972, 'id_str': '17351972', 'indices': [17, 27]}, {'screen_name': 'Nike', 'name': 'Nike', 'id': 415859364, 'id_str': '415859364', 'indices': [28, 33]}]",,2
6,"メールアドレスを変更したい
@NikeSupport","[{'screen_name': 'NikeSupport', 'name': 'Nike Support', 'id': 14462333, 'id_str': '14462333', 'indices': [14, 26]}]",,2
7,No puedo generar un nuevo plan me indica que ocurrió un error de conexión ya hace una semana tanto con WiFi como con datos libres @NikeSupport,"[{'screen_name': 'NikeSupport', 'name': 'Nike Support', 'id': 14462333, 'id_str': '14462333', 'indices': [130, 142]}]",,2
8,"Hey team,
Off late the NRC app has had a glitch where suddenly it stops counting the distance and keeps the clock going, rendering the information incorrect. @NikeSupport","[{'screen_name': 'NikeSupport', 'name': 'Nike Support', 'id': 14462333, 'id_str': '14462333', 'indices': [158, 170]}]",,2
9,登録アドレスはどうやって変更できるんですか？一度登録したら変更出来ないのでしょうか？@NikeSupport,"[{'screen_name': 'NikeSupport', 'name': 'Nike Support', 'id': 14462333, 'id_str': '14462333', 'indices': [42, 54]}]",,2
10,É possível trocar o e-mail registrado no app NRC? @NikeSupport,"[{'screen_name': 'NikeSupport', 'name': 'Nike Support', 'id': 14462333, 'id_str': '14462333', 'indices': [50, 62]}]",,2
11,"Great win Cats!

Return the Power K!

@UKYpres @UKMitchBarnhart @UKAthletics @Nike @NikeSupport @GoCatsDesign @UK_KFund @kentuckyalumni https://t.co/e7mxs8iGkY","[{'screen_name': 'UKYpres', 'name': 'Eli Capilouto', 'id': 292990275, 'id_str': '292990275', 'indices': [38, 46]}, {'screen_name': 'UKMitchBarnhart', 'name': 'Mitch Barnhart', 'id': 140244186, 'id_str': '140244186', 'indices': [47, 63]}, {'screen_name': 'UKAthletics', 'name': 'Kentucky Athletics', 'id': 24929053, 'id_str': '24929053', 'indices': [64, 76]}, {'screen_name': 'Nike', 'name': 'Nike', 'id': 415859364, 'id_str': '415859364', 'indices': [77, 82]}, {'screen_name': 'NikeSupport', 'name': 'Nike Support', 'id': 14462333, 'id_str': '14462333', 'indices': [83, 95]}, {'screen_name': 'GoCatsDesign', 'name': 'UK Creative Services', 'id': 4054232121, 'id_str': '4054232121', 'indices': [96, 109]}, {'screen_name': 'UK_KFund', 'name': 'K Fund- UK Athletics', 'id': 368986307, 'id_str': '368986307', 'indices': [110, 119]}, {'screen_name': 'kentuckyalumni', 'name': 'UK Alumni', 'id': 26575910, 'id_str': '26575910', 'indices': [120, 135]}]",,2
12,"I am very displeased and disappointed with Nike's customers service. I sent back my aqua kyries twice because of faulty sneakers that nearly caught on fire, shoe laces burnt off while playing bball and still no justice!! @Nike @nikestore @NikeSupport","[{'screen_name': 'Nike', 'name': 'Nike', 'id': 415859364, 'id_str': '415859364', 'indices': [221, 226]}, {'screen_name': 'nikestore', 'name': 'Nike.com', 'id': 17351972, 'id_str': '17351972', 'indices': [227, 237]}, {'screen_name': 'NikeSupport', 'name': 'Nike Support', 'id': 14462333, 'id_str': '14462333', 'indices': [238, 250]}]",,2
13,If my run app doesn't track a run in my training plan by accident (two days in a row btw) then is there a way for me to pull in the run data already collected to count toward my training plan? I only see the option to add a run and enter new data manually. @NikeSupport,"[{'screen_name': 'NikeSupport', 'name': 'Nike Support', 'id': 14462333, 'id_str': '14462333', 'indices': [257, 269]}]",,2
14,Super confused about my run on your four week intro course today @NikeSupport I had to do 400m sprints I think but I passed 400m and the coach didn't say anything?,"[{'screen_name': 'NikeSupport', 'name': 'Nike Support', 'id': 14462333, 'id_str': '14462333', 'indices': [65, 77]}]",,2
15,My runs are not getting synced for couple of weeks now. Is there a problem with your app on Android @NikeSupport,"[{'screen_name': 'NikeSupport', 'name': 'Nike Support', 'id': 14462333, 'id_str': '14462333', 'indices': [100, 112]}]",,2
16,Super bummed my VaporMax are starting to fall apart so quickly! ☹️😕 @NikeSupport &amp; @Nike - this doesn't seem good https://t.co/FXvJ3PiTj1,"[{'screen_name': 'NikeSupport', 'name': 'Nike Support', 'id': 14462333, 'id_str': '14462333', 'indices': [68, 80]}, {'screen_name': 'Nike', 'name': 'Nike', 'id': 415859364, 'id_str': '415859364', 'indices': [87, 92]}]",,2
17,"Hey @NikeSupport how do I get in the NRC Beta test for Wear OS? 
""NRC on WearOS is now available in BETA. Join the BETA program""","[{'screen_name': 'NikeSupport', 'name': 'Nike Support', 'id': 14462333, 'id_str': '14462333', 'indices': [4, 16]}]",,2
18,#runninghereos #10k ⁦@NikeSupport⁩ https://t.co/kE2Y6y5KJL,"[{'screen_name': 'NikeSupport', 'name': 'Nike Support', 'id': 14462333, 'id_str': '14462333', 'indices': [21, 33]}]",,2
19,"Yo, @kicks_usa did you get hacked? No reputable business would react this way. 

@nikestore @NikeSupport https://t.co/8rohg2A9Ov","[{'screen_name': 'kicks_usa', 'name': 'KICKSUSA', 'id': 83606701, 'id_str': '83606701', 'indices': [4, 14]}, {'screen_name': 'nikestore', 'name': 'Nike.com', 'id': 17351972, 'id_str': '17351972', 'indices': [81, 91]}, {'screen_name': 'NikeSupport', 'name': 'Nike Support', 'id': 14462333, 'id_str': '14462333', 'indices': [92, 104]}]",,2
20,We need to talk‼️ AAA couldn’t save me @NikeSupport @Nike https://t.co/x2kju6lfu2,"[{'screen_name': 'NikeSupport', 'name': 'Nike Support', 'id': 14462333, 'id_str': '14462333', 'indices': [39, 51]}, {'screen_name': 'Nike', 'name': 'Nike', 'id': 415859364, 'id_str': '415859364', 'indices': [52, 57]}]",,2
21,Meus treinos não estão sendo computados nos desvios @NikeSupport,"[{'screen_name': 'NikeSupport', 'name': 'Nike Support', 'id': 14462333, 'id_str': '14462333', 'indices': [52, 64]}]",,2
22,"Bonjour j'aimerai connaître la méthode pour figurer dans les classements du genre nrc nike plus 'just doit (les 3 communautés à la une dans l' app
Cordialement
 @NikeSupport","[{'screen_name': 'NikeSupport', 'name': 'Nike Support', 'id': 14462333, 'id_str': '14462333', 'indices': [161, 173]}]",,2
23,"I think @NikeSupport should release some shoes dedicated to @MacMiller, and have the profits go to local foundation that helps with drug addiction. @Nike #nikesonmyfeet","[{'screen_name': 'NikeSupport', 'name': 'Nike Support', 'id': 14462333, 'id_str': '14462333', 'indices': [8, 20]}, {'screen_name': 'MacMiller', 'name': 'Mac', 'id': 23065354, 'id_str': '23065354', 'indices': [60, 70]}, {'screen_name': 'Nike', 'name': 'Nike', 'id': 415859364, 'id_str': '415859364', 'indices': [148, 153]}]",,2
24,Hey @NikeSupport! I'm having trouble connecting my Facebook account to the Nike+ Running Club app. https://t.co/ijyO8Ppfwd,"[{'screen_name': 'NikeSupport', 'name': 'Nike Support', 'id': 14462333, 'id_str': '14462333', 'indices': [4, 16]}]",,2
25,"Return the Power K!

Get rid of the Crooked K!

@UKYpres @UKMitchBarnhart @GoCatsDesign @nike @NikeSupport @UKAthletics @kentuckyalumni https://t.co/dm07R9bks3","[{'screen_name': 'UKYpres', 'name': 'Eli Capilouto', 'id': 292990275, 'id_str': '292990275', 'indices': [48, 56]}, {'screen_name': 'UKMitchBarnhart', 'name': 'Mitch Barnhart', 'id': 140244186, 'id_str': '140244186', 'indices': [57, 73]}, {'screen_name': 'GoCatsDesign', 'name': 'UK Creative Services', 'id': 4054232121, 'id_str': '4054232121', 'indices': [74, 87]}, {'screen_name': 'Nike', 'name': 'Nike', 'id': 415859364, 'id_str': '415859364', 'indices': [88, 93]}, {'screen_name': 'NikeSupport', 'name': 'Nike Support', 'id': 14462333, 'id_str': '14462333', 'indices': [94, 106]}, {'screen_name': 'UKAthletics', 'name': 'Kentucky Athletics', 'id': 24929053, 'id_str': '24929053', 'indices': [107, 119]}, {'screen_name': 'kentuckyalumni', 'name': 'UK Alumni', 'id': 26575910, 'id_str': '26575910', 'indices': [120, 135]}]",,2
26,"Listen to the fans!

@UKYpres @UKMitchBarnhart @UKAthletics @nike @nikesupport @UK_KFund @GoCatsDesign @kentuckyalumni https://t.co/eNGXUFR430","[{'screen_name': 'UKYpres', 'name': 'Eli Capilouto', 'id': 292990275, 'id_str': '292990275', 'indices': [21, 29]}, {'screen_name': 'UKMitchBarnhart', 'name': 'Mitch Barnhart', 'id': 140244186, 'id_str': '140244186', 'indices': [30, 46]}, {'screen_name': 'UKAthletics', 'name': 'Kentucky Athletics', 'id': 24929053, 'id_str': '24929053', 'indices': [47, 59]}, {'screen_name': 'Nike', 'name': 'Nike', 'id': 415859364, 'id_str': '415859364', 'indices': [60, 65]}, {'screen_name': 'NikeSupport', 'name': 'Nike Support', 'id': 14462333, 'id_str': '14462333', 'indices': [66, 78]}, {'screen_name': 'UK_KFund', 'name': 'K Fund- UK Athletics', 'id': 368986307, 'id_str': '368986307', 'indices': [79, 88]}, {'screen_name': 'GoCatsDesign', 'name': 'UK Creative Services', 'id': 4054232121, 'id_str': '4054232121', 'indices': [89, 102]}, {'screen_name': 'kentuckyalumni', 'name': 'UK Alumni', 'id': 26575910, 'id_str': '26575910', 'indices': [103, 118]}]",,2
27,"So, I started using your app 3 weeks ago. The maps never worked. The coach stopped giving instructions completely after the second workout, and just gives time, pace and distance. Today, it stopped giving distance. How can I fix this? @NikeSupport","[{'screen_name': 'NikeSupport', 'name': 'Nike Support', 'id': 14462333, 'id_str': '14462333', 'indices': [235, 247]}]",,2
