,text,mentions,choose_one,class_label
0,"When you see her on  @nike posters throughout the store, just know she's a Rustite 💙 Ms. Helen Wright, '08 alumna 👏🏾 @ Nike Factory Store https://t.co/y4reEXP4un","[{'screen_name': 'Nike', 'name': 'Nike', 'id': 415859364, 'id_str': '415859364', 'indices': [21, 26]}]",,2
1,Watch how  I Maneuver ⚡️🕹🕺🏾 #MemphisJookin @nike @strophictfg 📶 #Arkansas #Hiphop https://t.co/zsgp9jAyeq,"[{'screen_name': 'Nike', 'name': 'Nike', 'id': 415859364, 'id_str': '415859364', 'indices': [43, 48]}, {'screen_name': 'StrophicTFG', 'name': 'TFG_CEO', 'id': 133564645, 'id_str': '133564645', 'indices': [49, 61]}]",,2
2,Las mujeres empoderadas molan. Pero molan más usando su poder en misión /  @Nike think about it ;) #next #thinking #women #wip https://t.co/NkRZtbKmb9,"[{'screen_name': 'Nike', 'name': 'Nike', 'id': 415859364, 'id_str': '415859364', 'indices': [75, 80]}]",,2
3,"I will never buy another @nike product again . . . 

#nike #NikeBoycott #MAGA #KAG #AmericaFirst #Trump #Tucker #TuckerCarlson #TuckerCarlsonTonight https://t.co/PWmp3xwyJI","[{'screen_name': 'Nike', 'name': 'Nike', 'id': 415859364, 'id_str': '415859364', 'indices': [25, 30]}]",,2
4,When you mad cause everyone is buying @Nike! https://t.co/oABs60ra2l,"[{'screen_name': 'Nike', 'name': 'Nike', 'id': 415859364, 'id_str': '415859364', 'indices': [38, 43]}]",,2
5,“OFF COURSE” HAS NOTHING TO DO WITH “OFF-WHITE” ... I JUST LIKE @Nike https://t.co/dpSrqnlCO3,"[{'screen_name': 'Nike', 'name': 'Nike', 'id': 415859364, 'id_str': '415859364', 'indices': [64, 69]}]",,2
6,Found this on IG. Jimmy Garoppolo’s ex is salty AF. #PrayForJimmyG @JimmyG_10 @NFL @Nike @gmfb @TMZ @TMZ_Sports https://t.co/uT9osV7Zz8,"[{'screen_name': 'JimmyG_10', 'name': 'Jimmy Garoppolo', 'id': 339317307, 'id_str': '339317307', 'indices': [67, 77]}, {'screen_name': 'NFL', 'name': 'NFL', 'id': 19426551, 'id_str': '19426551', 'indices': [78, 82]}, {'screen_name': 'Nike', 'name': 'Nike', 'id': 415859364, 'id_str': '415859364', 'indices': [83, 88]}, {'screen_name': 'gmfb', 'name': 'GMFB', 'id': 575014349, 'id_str': '575014349', 'indices': [89, 94]}, {'screen_name': 'TMZ', 'name': 'TMZ', 'id': 16331010, 'id_str': '16331010', 'indices': [95, 99]}, {'screen_name': 'TMZ_Sports', 'name': 'TMZ Sports', 'id': 117270375, 'id_str': '117270375', 'indices': [100, 111]}]",,2
7,I know that if stocks were predictable everyone would be rich... but how the hell is #nike stock prices going UP!?  Are we really encouraging this ridiculous trend?  #NikeBoycott #NikeBasketball #NIKEFAM @Nike @nikestore @nikesportswear,"[{'screen_name': 'Nike', 'name': 'Nike', 'id': 415859364, 'id_str': '415859364', 'indices': [204, 209]}, {'screen_name': 'nikestore', 'name': 'Nike.com', 'id': 17351972, 'id_str': '17351972', 'indices': [210, 220]}, {'screen_name': 'nikesportswear', 'name': 'Nike Sportswear', 'id': 98533811, 'id_str': '98533811', 'indices': [221, 236]}]",,2
8,"Hey @49ers the right and smart thing to do is sign @Kaepernick7. He is the best option by a long shot. He will also make y’all ton of money. just ask @Nike AND when it’s all said and done, y’all will be remembered as the team that was on the right side of the fight. #JustDoIt","[{'screen_name': '49ers', 'name': 'San Francisco 49ers', 'id': 43403778, 'id_str': '43403778', 'indices': [4, 10]}, {'screen_name': 'Kaepernick7', 'name': 'Colin Kaepernick', 'id': 45055696, 'id_str': '45055696', 'indices': [51, 63]}, {'screen_name': 'Nike', 'name': 'Nike', 'id': 415859364, 'id_str': '415859364', 'indices': [150, 155]}]",,2
9,A little reminder to all who can vote. Saying it’s like @nike “just do it”. ‘Cause it is your future it is depending on. https://t.co/yTYH3tRXUc,"[{'screen_name': 'Nike', 'name': 'Nike', 'id': 415859364, 'id_str': '415859364', 'indices': [56, 61]}]",,2
