,index,choose_one,class_label,created_at,id,json,mentions,source,text,username,predictions,probabilities
0,0,neutral,0,Mon Oct 01 23:50:51 +0000 2018,1046910346521395200,,,united,".@United will be the first US-based carrier to fly the Boeing 787-10 when new transcon service with the aircraft launches on Jan 7, 2019. https://t.co/B0qqy2lfh0",airlineguys,0,0.284090732576004
1,1,neutral,0,Mon Oct 01 23:47:33 +0000 2018,1046909514094505984,,,united,"Had to return to the gate bc @united didn’t have enough child life vests. Classic case of not looking @ collected data to best use resources for future success (ie, safe flight). Reminder to LOOK @ your data - it should be collected for a reason! #assessment #vacation #saassess",JoeBooksLevy,0,0.26965409983164607
2,2,neutral,0,Mon Oct 01 23:46:35 +0000 2018,1046909271219130368,,,united,"Good Morning from #Australia @flyPAL @AmericanAir  @MAS  @cathaypacific  @SouthwestAir  @lufthansa @Delta @KLM @EtihadAirways @AlaskaAir @HawaiianAir @JetBlue @AsianaAirlines @FlyMangoSA
 @united @British_Airways  #AxelHappy #Recruitment https://t.co/Fu4S0fsdFa",AxelKoster,0,0.39977179523540884
3,3,neutral,0,Mon Oct 01 23:35:23 +0000 2018,1046906452068261888,,,united,"Well, @united, 5 of our last 6 flights together have seen significant delays... what gives?",monteevee,0,0.27667208950312433
4,4,neutral,0,Mon Oct 01 23:30:23 +0000 2018,1046905192309043200,,,united,"Horrible flight delay @united UA857 SFO to PVG Shanghai. Over 3 hrs, no electricity 🤔 on the 787Dreamliner I will be missing my first booked tour",GNaccarato,0,0.47270032528918937
5,5,neutral,0,Mon Oct 01 23:29:09 +0000 2018,1046904881691250688,,,united,"Proud to empower our students to share their #GlobalGlimpse experience on @ABC's @WindyCityLIVE. Aaliyah + Zoe have returned home, inspired + prepared to contribute to their hometown of #Chicago! Thank you @SharonGrantUA + @united for joining us. https://t.co/17pBTTpYu9",globalglimpse,0,0.19526649767525742
6,6,neutral,0,Mon Oct 01 23:26:57 +0000 2018,1046904328655687681,,,united,Huge shout out to Myesha @united today. Second flight delay of the day for me. She was the gate agent at O’Hare flight #1223. Loved her attitude! I can’t be mad 🙂,evyschwartz,0,0.31439592006146366
7,7,neutral,0,Mon Oct 01 23:24:07 +0000 2018,1046903615389147136,,,united,"Flight booked. @united 
I need to purchase the fee for baby sitting in my lap.  Help please.",MoFoTomO,1,0.6899741668774758
8,8,neutral,0,Mon Oct 01 23:22:15 +0000 2018,1046903146272894977,,,united,"In travel news: @united Airlines adding popular Dreamliner plane on key SFO to Newark route. @garyleff 
 https://t.co/G0XMMKbbPY",SFBTmoney,0,0.21999932976928396
9,9,neutral,0,Mon Oct 01 23:22:07 +0000 2018,1046903113985097728,,,united,"In travel news: @united Airlines adding popular Dreamliner plane on key SFO to Newark route. @garyleff 
 https://t.co/084qknIATP",MarkCalvey,0,0.21999932976928396
10,10,neutral,0,Mon Oct 01 23:16:34 +0000 2018,1046901718787575813,,,united,"Shocking, another terrible @united flight UA724. Can’t wait to write all my reviews in my formal complaint letter",dandogg12,1,0.6635313453871283
11,11,neutral,0,Mon Oct 01 23:14:26 +0000 2018,1046901181065388032,,,united,El vlo 1095 de @united procedente de #Newark @EWRairport está demorado. Estima arribar en #Lima @AeropuertoLima a las 23:26 hrs @Aeronoticias @Boeing B757-200 N58101,Bestravel1,0,0.21457948001710936
12,12,neutral,0,Mon Oct 01 23:13:58 +0000 2018,1046901063943634944,,,united,"Can always count on @united to have no AC on a flight out of Houston. Families are falling apart, scary times.",AJLapray,0,0.3695957729291048
13,13,neutral,0,Mon Oct 01 23:10:04 +0000 2018,1046900082627502081,,,united,Now on #NonprofitRadio podcast: How Foundations Make Decisions with @fdncenter @united: https://t.co/Oq8qXKvUaw,TonyMartignetti,0,0.2715062191027887
14,14,neutral,0,Mon Oct 01 23:07:46 +0000 2018,1046899502924357633,,,united,"Spread the #love, it’s the Brooklyn way! @united @brownsvillebred #DelValleCasting https://t.co/W3zKYUMrk2",rachelkylian,0,0.4385029918630964
15,15,neutral,0,Mon Oct 01 23:03:30 +0000 2018,1046898430264709120,,,united,Get with it @united. It’s 2018. Almost 2019. Where is the in seat streaming entertainment?,ericinstereo,0,0.402312846399687
16,16,neutral,0,Mon Oct 01 22:57:05 +0000 2018,1046896812534259713,,,united,Always fun to run into old colleagues when your'e on the go @MotoSolutions @united @Peak_Ryzex Wheels up! https://t.co/TG7GKSKTd1,juliann612,0,0.25996408308308055
17,17,neutral,0,Mon Oct 01 22:50:06 +0000 2018,1046895054885916672,,,united,Wow! @united seriously I’m not trying to be a negative nancy here but what’s the point of providing my cell phone number if I will not get an alert on gate change!😡 I almost missed my flight! I had to walk to the other side of the airport! And I’ve been here 3hrs before flight,atribecalledher,1,0.6559790602316917
18,18,neutral,0,Mon Oct 01 22:42:11 +0000 2018,1046893065229754368,,,united,"Wow @united , $200 charge to change a flight that is more than 6 months out. Never flying you for pleasure or business again. Don't you have enough bad publicity right now?",JeremyWeger,0,0.49726578444995295
19,19,neutral,0,Mon Oct 01 22:41:03 +0000 2018,1046892778511376384,,,united,Within hours of each other @AmericanAir and @united took a major step in finishing their respective mergers.  Both mega carriers have now merged their flight attendants from two groups into one. So they can all work any flight on any plane.,krisvancleave,0,0.4819332161552902
20,20,neutral,0,Mon Oct 01 22:32:44 +0000 2018,1046890684102397952,,,united,Just a little #moroccanmint and #rooiboschai with some cream in the @United #lounge an hour before my @Delta flight. https://t.co/AZGqQ1lO10,teaforgeeks,0,0.4644770564261117
21,21,neutral,0,Mon Oct 01 22:30:22 +0000 2018,1046890090964881414,,,united,Sir Kensington's is really taking off! ✈️ 💙 🍔 Our condiments are now available on select @United flights with their White Cheddar Cheeseburger! https://t.co/9ZcMVVcuvx,sirkensingtons,0,0.39311856876745915
22,22,neutral,0,Mon Oct 01 22:29:38 +0000 2018,1046889906902061056,,,united,Just a little #moroccanmint and #rooiboschai with some cream in the @United #lounge an hour before my @Delta flight. @ Seattle-Tacoma International Airport (Sea-Tac) https://t.co/ry2qX181ub,teaforgeeks,0,0.45974287871115715
23,23,neutral,0,Mon Oct 01 22:23:08 +0000 2018,1046888270116749314,,,united,"Come and see our patented Quantum GSE Charger at the GSE Expo in Las Vegas!  Oct. 2-4, Booth #850 @IAGSEexpo #gseexpo2018 #quantumtakesoff @AmericanAir @Delta @united @SouthwestAir @AlaskaAir @VirginAmerica @AirCanada @WestJet https://t.co/3tsaCwZ9Vk",SmartestCharge,0,0.2236230741714088
24,24,neutral,0,Mon Oct 01 22:22:31 +0000 2018,1046888114701176835,,,united,You can’t talk about crisis communications without mentioning @united 😬 @RelativityHQ @RelativityFest #RelativityFest https://t.co/7ssfkjm63x,ekduits,0,0.3578165701448404
25,49,neutral,0,Mon Oct 01 20:53:32 +0000 2018,1046865723346300930,,,united,"Interesting! @United got rid of the seatback screens on the plane. Just a spring-loaded clip to hold YOUR tablet or smartphone now.

When will auto manufacturers figure this out!? https://t.co/6NakiiTr2p",MichaelKitces,0,0.43171803875043996
26,25,neutral,0,Mon Oct 01 22:13:54 +0000 2018,1046885947189555200,,,united,"Interesting! The Dreamliner is usually a long-haul player, but @united will be using their stretched 787-10s to boost frequencies on some premium transcon routes starting early next year | #dreamliner #aviation https://t.co/IgkJdRTbF8",AirlineReporter,0,0.38497466640321676
27,26,neutral,0,Mon Oct 01 22:13:21 +0000 2018,1046885808999944197,,,united,I think you need a different slogan @united 😅 https://t.co/Bty2gqyMvL,C_FFernandez,0,0.4264347309922065
28,27,neutral,0,Mon Oct 01 22:03:16 +0000 2018,1046883271693520896,,,united,"Gotta give credit where credit is due. Thanks to rain and congestion in Madison, the @united and @Gogo peeps responded, apologized and refunded while we’ve sat here waiting for a gate to open!",Chippewaffles,0,0.45361060409346454
29,28,neutral,0,Mon Oct 01 22:00:00 +0000 2018,1046882447617454088,,,united,.@united added nine @Boeing 787-9s to its orderbook. The airline's backlog for this aircraft stands at 13 units. FlightGlobal. https://t.co/RpMQuF0Nwb,mxaerospace,0,0.29128251210842304
30,29,neutral,0,Mon Oct 01 21:58:09 +0000 2018,1046881984356732930,,,united,A @united 737 with a smooth departure roll out of Washington Dulles. Who can tell what 737 variant this is? https://t.co/5o1gIFbEuP,AirlineGeeks,0,0.38581566284387686
31,30,neutral,0,Mon Oct 01 21:57:23 +0000 2018,1046881789313212416,,,united,UA 6057 is miserable. @united your customer service has been atrocious and less than willing to help any of your customers,suefreedom21,1,0.8506469621041087
32,31,neutral,0,Mon Oct 01 21:50:51 +0000 2018,1046880144491712512,,,united,Man this @united flight smells so bad like piss. What the fuck y’all doin on these planes?,Braith_Miller,0,0.2681079061331461
33,32,neutral,0,Mon Oct 01 21:47:20 +0000 2018,1046879260386955264,,,united,Love landing 50mins early @united after 14 hour flight to find no gate and to sit on tarmac for half an hour. Landing early doesn’t really add much benefit...not much can be done I guess though we dis know about that early arrival when we took off. Good flight tho,MarcusSpillane,0,0.4336478504910452
34,33,neutral,0,Mon Oct 01 21:43:58 +0000 2018,1046878413271830528,,,united,Anyone else think @united should give incentives for people in groups 1 and 2 to gate check their bags? Maybe award miles or wifi vouchers?,JonDC51,0,0.3672732350983712
35,34,neutral,0,Mon Oct 01 21:40:35 +0000 2018,1046877562234970113,,,united,"Technology is a tool. So is a chainsaw. Don't give a chainsaw to someone who can't handle it. Would somebody please take its ""lost bag"" system away from @united. UA clearly can't handle that tool.",Bjornqc,1,0.6480112223710365
36,35,neutral,0,Mon Oct 01 21:36:24 +0000 2018,1046876510274166784,,,united,"So here’s what @united ‘s @Gogo web service was like for the entire flight. Rather than following the Brewers-Cubs, I got these screens until landing, followed by an advisory that my credit card had been charged anyway. But hey, #GoBrewers #ThisIsMyCrew https://t.co/oq5QvQumIL",Chippewaffles,1,0.5874523507371888
37,36,neutral,0,Mon Oct 01 21:35:02 +0000 2018,1046876166546759680,,,united,"Hey @united . Had a lovely flight with you where I got a sandwich. It had more ingredients than I’ve seen for a while, in particular an obscene amount of preservatives, art. flavours and salt. And reconstituted turkey?Palm oil? Please strive to serve real &amp; sustainable food! https://t.co/XsYu9HX2Id",SaraGarstecka,0,0.47903749193292905
38,37,neutral,0,Mon Oct 01 21:28:07 +0000 2018,1046874424115441664,,,united,Thank you Jeanine from UA160 today. @united she cares!,ChrisKadavil,0,0.488572858499987
39,38,neutral,0,Mon Oct 01 21:25:41 +0000 2018,1046873813835821057,,,united,"yo @united. your flight attendants on flight 230 ORD-EWR today kept making announcements about a bag left outside the plane, looking for its owner. 

on the flip side of the flight they discovered it belonged to an elderly woman who misunderstood instructions about what to do...",maddieguy,0,0.40314211935266
40,39,neutral,0,Mon Oct 01 21:23:28 +0000 2018,1046873255808774157,,,united,Me and 6 other friends just booked the inaugural @united @Boeing B787-10 flight from LAX-EWR this coming January.  Most of us met on the 747 retirement flight.  And a few of us took the inaugural 737Max9 flight.  Can’t wait to see what @united has in store for us on this flight!,RobSchumacher93,0,0.3047189743156708
41,40,neutral,0,Mon Oct 01 21:14:00 +0000 2018,1046870871380389888,,,united,"So far @AlaskaAir, @united Airlines and @SouthwestAir have proposed a combined 24 flights per day @FlyPaineField @PaineField, @JanicePods reports @HBJnews 
https://t.co/FNz9c8HqSJ",EverettHerald,0,0.40298296864395305
42,41,neutral,0,Mon Oct 01 21:09:28 +0000 2018,1046869729707798528,,,united,"Airlines like @united are making billions, while airport workers like Niecea struggle.  Unions can level the playing field.  10/2  is a day of global solidarity where airport workers are calling for living wages, safe working conditions &amp; #UnionsForAll!  #PovertyDoesn'tFly https://t.co/W7XRjya2fo",syndicalist,0,0.3564309108231711
43,42,neutral,0,Mon Oct 01 21:05:25 +0000 2018,1046868711368527873,,,united,Hey @united. Great idea not allowing families to sit together with your new fare. We might be at peak stupidity https://t.co/QHIroiaUPb,dsobek,0,0.21101795177859828
