,text,mentions,choose_one,class_label
0,"Was planning to cancel my @Spotify account after a year of awful app service (Android). Saw today they charged me for this month just a day ago, so @SpotifyCares, you have one more month to fix this thing. Don't act like you don't know there's a problem. #Spotify #Android","[{'screen_name': 'Spotify', 'name': 'Spotify', 'id': 17230018, 'id_str': '17230018', 'indices': [26, 34]}, {'screen_name': 'SpotifyCares', 'name': 'SpotifyCares', 'id': 497340309, 'id_str': '497340309', 'indices': [148, 161]}]",,2
1,"Accidentally unliked the reliked a song in my daily mixes, the bottom is @SpotifyCares response https://t.co/ipJwt9wLqG","[{'screen_name': 'SpotifyCares', 'name': 'SpotifyCares', 'id': 497340309, 'id_str': '497340309', 'indices': [73, 86]}]",,2
2,"The “Recommended Songs” on my playlist are all songs from Thailand again. 

Please help, @spotifyartists @SpotifyCares @Spotify 🙏🏼 

I’m not Thai &amp; my music is entirely in English. Thank you so much!

https://t.co/ezHhEOuxTl https://t.co/Rg8ls1gnLo","[{'screen_name': 'spotifyartists', 'name': 'Spotify for Artists', 'id': 1729246746, 'id_str': '1729246746', 'indices': [89, 104]}, {'screen_name': 'SpotifyCares', 'name': 'SpotifyCares', 'id': 497340309, 'id_str': '497340309', 'indices': [105, 118]}, {'screen_name': 'Spotify', 'name': 'Spotify', 'id': 17230018, 'id_str': '17230018', 'indices': [119, 127]}]",,2
3,"hello there, @SpotifyCares ! When is @kreator 's masterpiece VIOLENT REVOLUTION coming to Spotify? Help me, Spo Tify Kenobi! You're my only hope! #ViolentRevolution #Kreator #ReconqueringTheThrone","[{'screen_name': 'SpotifyCares', 'name': 'SpotifyCares', 'id': 497340309, 'id_str': '497340309', 'indices': [13, 26]}, {'screen_name': 'kreator', 'name': 'Kreator', 'id': 59412175, 'id_str': '59412175', 'indices': [37, 45]}]",,2
4,hey @SpotifyCares why is my account being used by some bot to get the play count up on trash edm,"[{'screen_name': 'SpotifyCares', 'name': 'SpotifyCares', 'id': 497340309, 'id_str': '497340309', 'indices': [4, 17]}]",,2
5,"I swear to God, if @Spotify (cc @SpotifyCares @SpotifyUSA) runs another ad on my phone for the pedophilic .@Netflix show .@BigMouth, I'm going to have to delete the app and find a new streaming service. The show's about 14 yr olds' privates parts--completely appalling!!","[{'screen_name': 'Spotify', 'name': 'Spotify', 'id': 17230018, 'id_str': '17230018', 'indices': [19, 27]}, {'screen_name': 'SpotifyCares', 'name': 'SpotifyCares', 'id': 497340309, 'id_str': '497340309', 'indices': [32, 45]}, {'screen_name': 'SpotifyUSA', 'name': 'Spotify USA', 'id': 213687893, 'id_str': '213687893', 'indices': [46, 57]}, {'screen_name': 'netflix', 'name': 'Netflix US', 'id': 16573941, 'id_str': '16573941', 'indices': [107, 115]}, {'screen_name': 'bigmouth', 'name': 'Big Mouth', 'id': 4889963682, 'id_str': '4889963682', 'indices': [122, 131]}]",,2
6,"Spotify audio does not work. why? I can't listening to spotify music, but my computer audio works as well. @SpotifyStatus @SpotifyCares  Any advice? I have a SpotifyFree account.","[{'screen_name': 'SpotifyStatus', 'name': 'Spotify Status', 'id': 376115787, 'id_str': '376115787', 'indices': [107, 121]}, {'screen_name': 'SpotifyCares', 'name': 'SpotifyCares', 'id': 497340309, 'id_str': '497340309', 'indices': [122, 135]}]",,2
7,"You know what's crazy? When @youtubemusic and @GoogleplayMusic keep charging you after you cancel your service with them, and then act like nothing is happening. @Google Do you want to do anything about this? Good to know that @SpotifyCares values its customers.","[{'screen_name': 'youtubemusic', 'name': 'YouTube Music', 'id': 880142286176231425, 'id_str': '880142286176231425', 'indices': [28, 41]}, {'screen_name': 'GooglePlayMusic', 'name': 'Google Play Music', 'id': 3307218826, 'id_str': '3307218826', 'indices': [46, 62]}, {'screen_name': 'Google', 'name': 'Google', 'id': 20536157, 'id_str': '20536157', 'indices': [162, 169]}, {'screen_name': 'SpotifyCares', 'name': 'SpotifyCares', 'id': 497340309, 'id_str': '497340309', 'indices': [227, 240]}]",,2
8,"brandon hacked into my spotify and is tweeting my listening history, pls  help @SpotifyCares https://t.co/BNtGx6lPkQ","[{'screen_name': 'SpotifyCares', 'name': 'SpotifyCares', 'id': 497340309, 'id_str': '497340309', 'indices': [79, 92]}]",,2
9,Why isn’t Urinetown on @SpotifyUK? @SpotifyCares,"[{'screen_name': 'SpotifyUK', 'name': 'Spotify UK', 'id': 479315245, 'id_str': '479315245', 'indices': [23, 33]}, {'screen_name': 'SpotifyCares', 'name': 'SpotifyCares', 'id': 497340309, 'id_str': '497340309', 'indices': [35, 48]}]",,2
10,⁦@AppleSupport⁩ please fix this. #letcustomerschoose #apple #ios12 #iphone #mac ⁦@9to5mac⁩ #siri #phonearena #macmiller ⁦@MacMiller⁩  ⁦@Spotify⁩ ⁦@SpotifyUSA⁩ ⁦@spotifyartists⁩ ⁦@SpotifyCares⁩ #larryfisherman https://t.co/kASoJEgfQS,"[{'screen_name': 'AppleSupport', 'name': 'Apple Support', 'id': 3309375033, 'id_str': '3309375033', 'indices': [1, 14]}, {'screen_name': '9to5mac', 'name': '9to5Mac \uf8ff', 'id': 15944436, 'id_str': '15944436', 'indices': [81, 89]}, {'screen_name': 'MacMiller', 'name': 'Mac', 'id': 23065354, 'id_str': '23065354', 'indices': [121, 131]}, {'screen_name': 'Spotify', 'name': 'Spotify', 'id': 17230018, 'id_str': '17230018', 'indices': [135, 143]}, {'screen_name': 'SpotifyUSA', 'name': 'Spotify USA', 'id': 213687893, 'id_str': '213687893', 'indices': [146, 157]}, {'screen_name': 'spotifyartists', 'name': 'Spotify for Artists', 'id': 1729246746, 'id_str': '1729246746', 'indices': [160, 175]}, {'screen_name': 'SpotifyCares', 'name': 'SpotifyCares', 'id': 497340309, 'id_str': '497340309', 'indices': [178, 191]}]",,2
11,Please @eldsjal fix this! Bring back the repeat button! @Spotify @SpotifyCares https://t.co/J3m0glWrvK,"[{'screen_name': 'eldsjal', 'name': 'Daniel Ek', 'id': 11094232, 'id_str': '11094232', 'indices': [7, 15]}, {'screen_name': 'Spotify', 'name': 'Spotify', 'id': 17230018, 'id_str': '17230018', 'indices': [56, 64]}, {'screen_name': 'SpotifyCares', 'name': 'SpotifyCares', 'id': 497340309, 'id_str': '497340309', 'indices': [65, 78]}]",,2
12,"Hey @SpotifyCares idk if this is just a glitch or something but can you take a look into this? It's the album tracklist text just over everything, I can't click it, doesn't interfer with me clicking on anything else, it's just kinda there. thanks https://t.co/LWXBHPcveX","[{'screen_name': 'SpotifyCares', 'name': 'SpotifyCares', 'id': 497340309, 'id_str': '497340309', 'indices': [4, 17]}]",,2
13,https://t.co/9xpkYpTPak Kingraspedro . @SoundExchange  @ASCAP @SoundCloud @ReverbNation @SpotifyCares @SpotifyUSA @iTunes @amazon,"[{'screen_name': 'SoundExchange', 'name': 'SoundExchange', 'id': 18193160, 'id_str': '18193160', 'indices': [39, 53]}, {'screen_name': 'ASCAP', 'name': 'ASCAP', 'id': 31136855, 'id_str': '31136855', 'indices': [55, 61]}, {'screen_name': 'SoundCloud', 'name': 'SoundCloud', 'id': 5943942, 'id_str': '5943942', 'indices': [62, 73]}, {'screen_name': 'ReverbNation', 'name': 'ReverbNation', 'id': 15085591, 'id_str': '15085591', 'indices': [74, 87]}, {'screen_name': 'SpotifyCares', 'name': 'SpotifyCares', 'id': 497340309, 'id_str': '497340309', 'indices': [88, 101]}, {'screen_name': 'SpotifyUSA', 'name': 'Spotify USA', 'id': 213687893, 'id_str': '213687893', 'indices': [102, 113]}, {'screen_name': 'iTunes', 'name': 'iTunes', 'id': 66515223, 'id_str': '66515223', 'indices': [114, 121]}, {'screen_name': 'amazon', 'name': 'Amazon.com', 'id': 20793816, 'id_str': '20793816', 'indices': [122, 129]}]",,2
