,text,mentions,choose_one,class_label
0,"#nowlistening Rap God
by @Eminem
via @Spotify
🔊 https://t.co/GwsoY4PLd7","[{'screen_name': 'Eminem', 'name': 'Marshall Mathers', 'id': 22940219, 'id_str': '22940219', 'indices': [25, 32]}, {'screen_name': 'Spotify', 'name': 'Spotify', 'id': 17230018, 'id_str': '17230018', 'indices': [37, 45]}]",,2
1,"Hey @AppleMusic, work with @amazon to get Apple Music on my Echo and I'm ready to switch. Guess I'm sticking with @Spotify.","[{'screen_name': 'AppleMusic', 'name': 'Apple Music', 'id': 74580436, 'id_str': '74580436', 'indices': [4, 15]}, {'screen_name': 'amazon', 'name': 'Amazon.com', 'id': 20793816, 'id_str': '20793816', 'indices': [27, 34]}, {'screen_name': 'Spotify', 'name': 'Spotify', 'id': 17230018, 'id_str': '17230018', 'indices': [114, 122]}]",,2
2,ILOVEYOU @Spotify  Huhuhu can't wait @khelpangilinan  😭😭😭 https://t.co/CxoAHjiRnn,"[{'screen_name': 'Spotify', 'name': 'Spotify', 'id': 17230018, 'id_str': '17230018', 'indices': [9, 17]}, {'screen_name': 'khelpangilinan', 'name': 'Michael Pangilinan', 'id': 2786051449, 'id_str': '2786051449', 'indices': [37, 52]}]",,2
3,"i reimagined my songs into their purest form on my new live EP #SkinDeepDreams. just me + my 🎸

🎵 stream it on @Spotify here ↯
https://t.co/qd0doP9loY","[{'screen_name': 'Spotify', 'name': 'Spotify', 'id': 17230018, 'id_str': '17230018', 'indices': [111, 119]}]",,2
4,"Estoy bien vergas haciendo algo de ejercicio, pongo la Playlist Beast mode, que en teoría tiene Hard Rock, alternativo y música de negros, y me empiezan a salir canciones de Ozuna y Bad Bunny, ¿qué pedo con eso @spotify?","[{'screen_name': 'Spotify', 'name': 'Spotify', 'id': 17230018, 'id_str': '17230018', 'indices': [211, 219]}]",,2
5,"I know that Machine Learning is a buzzword, but Spotify seems to have finally cracked the code by serving me Blink-182, Limp Bizkit and Alice in Chains in one Daily Mix. More importantly, what does this say about me? #machinelearning @Spotify","[{'screen_name': 'Spotify', 'name': 'Spotify', 'id': 17230018, 'id_str': '17230018', 'indices': [234, 242]}]",,2
6,"Tick tock...

@Twitter/@jack 
@facebook 
@Google 
@Apple 
@YouTube 
@Spotify 
@PayPal 
@gofundme 

Tick tock...

@Zelectrician 
@steph93065 

#StopTheBias
#RedCensorship https://t.co/sdSAgPJyiq","[{'screen_name': 'Twitter', 'name': 'Twitter', 'id': 783214, 'id_str': '783214', 'indices': [14, 22]}, {'screen_name': 'jack', 'name': 'jack', 'id': 12, 'id_str': '12', 'indices': [23, 28]}, {'screen_name': 'facebook', 'name': 'Facebook', 'id': 2425151, 'id_str': '2425151', 'indices': [30, 39]}, {'screen_name': 'Google', 'name': 'Google', 'id': 20536157, 'id_str': '20536157', 'indices': [41, 48]}, {'screen_name': 'Apple', 'name': 'Apple', 'id': 380749300, 'id_str': '380749300', 'indices': [50, 56]}, {'screen_name': 'YouTube', 'name': 'YouTube', 'id': 10228272, 'id_str': '10228272', 'indices': [58, 66]}, {'screen_name': 'Spotify', 'name': 'Spotify', 'id': 17230018, 'id_str': '17230018', 'indices': [68, 76]}, {'screen_name': 'PayPal', 'name': 'PayPal', 'id': 30018058, 'id_str': '30018058', 'indices': [78, 85]}, {'screen_name': 'gofundme', 'name': 'GoFundMe', 'id': 112897540, 'id_str': '112897540', 'indices': [87, 96]}, {'screen_name': 'Zelectrician', 'name': '❌#WalkAway ❌', 'id': 4746444355, 'id_str': '4746444355', 'indices': [113, 126]}, {'screen_name': 'steph93065', 'name': 'Steph', 'id': 261749735, 'id_str': '261749735', 'indices': [128, 139]}]",,2
7,"Puse una playlist en @Spotify del 2000 bai mundo ,zisquense https://t.co/EjqnXfxF4X","[{'screen_name': 'Spotify', 'name': 'Spotify', 'id': 17230018, 'id_str': '17230018', 'indices': [21, 29]}]",,2
8,"""Two Punks In Love"" by @bulow tops @BristolFunk83's Autumn Folk, Singers and Songwriters | Chilled | 2018 @Spotify playlist: https://t.co/vaHdi6IS2a https://t.co/FCvETwAY2M","[{'screen_name': 'bulow', 'name': 'bülow', 'id': 914879373488082944, 'id_str': '914879373488082944', 'indices': [23, 29]}, {'screen_name': 'BristolFunk83', 'name': 'Bristol Funk', 'id': 2729952087, 'id_str': '2729952087', 'indices': [35, 49]}, {'screen_name': 'Spotify', 'name': 'Spotify', 'id': 17230018, 'id_str': '17230018', 'indices': [106, 114]}]",,2
9,When🤦🏽‍♀️get mad and act out VS when🤦🏽‍♂️get mad and act out.. Enjoy this one💯 @anchor @GooglePlayMusic @Spotify @Stitcher @tunein @SIRIUSXM @DaveandChuck @HowardStern @breakfastclubam https://t.co/Fk3z6cPrxU #podcast #PodernFamily #podcasting #podfix #podbean #PodGenie,"[{'screen_name': 'anchor', 'name': 'Anchor', 'id': 3044472165, 'id_str': '3044472165', 'indices': [79, 86]}, {'screen_name': 'GooglePlayMusic', 'name': 'Google Play Music', 'id': 3307218826, 'id_str': '3307218826', 'indices': [87, 103]}, {'screen_name': 'Spotify', 'name': 'Spotify', 'id': 17230018, 'id_str': '17230018', 'indices': [104, 112]}, {'screen_name': 'Stitcher', 'name': 'Stitcher', 'id': 21683908, 'id_str': '21683908', 'indices': [113, 122]}, {'screen_name': 'tunein', 'name': 'TuneIn', 'id': 54688421, 'id_str': '54688421', 'indices': [123, 130]}, {'screen_name': 'SIRIUSXM', 'name': 'SiriusXM', 'id': 189258194, 'id_str': '189258194', 'indices': [131, 140]}, {'screen_name': 'DaveandChuck', 'name': 'Dave&ChuckTheFreak', 'id': 21083000, 'id_str': '21083000', 'indices': [141, 154]}, {'screen_name': 'HowardStern', 'name': 'Howard Stern', 'id': 246481013, 'id_str': '246481013', 'indices': [155, 167]}, {'screen_name': 'breakfastclubam', 'name': 'The Breakfast Club', 'id': 222436278, 'id_str': '222436278', 'indices': [168, 184]}]",,2
10,"Pumped 3-6-5 is now on @Spotify Young &amp; Free by Spotify. Check it out
https://t.co/seuaKBFsIc","[{'screen_name': 'Spotify', 'name': 'Spotify', 'id': 17230018, 'id_str': '17230018', 'indices': [23, 31]}]",,2
