,text,mentions,choose_one,class_label
0,Tmobile 2 lines for $90 unlimited text talk and data...bye bye @sprintcare and hello @Tmobile,"[{'screen_name': 'sprintcare', 'name': 'Sprint Care', 'id': 16560043, 'id_str': '16560043', 'indices': [63, 74]}, {'screen_name': 'TMobile', 'name': 'T-Mobile', 'id': 17338082, 'id_str': '17338082', 'indices': [85, 93]}]",,2
1,andrew from sprint is the only person at sprint that should get paid write that down @sprintcare @sprint,"[{'screen_name': 'sprintcare', 'name': 'Sprint Care', 'id': 16560043, 'id_str': '16560043', 'indices': [85, 96]}, {'screen_name': 'sprint', 'name': 'Sprint', 'id': 14626738, 'id_str': '14626738', 'indices': [97, 104]}]",,2
2,I have never had so much trouble setting up a new iPhone. Thanks @apple and @sprintcare.,"[{'screen_name': 'Apple', 'name': 'Apple', 'id': 380749300, 'id_str': '380749300', 'indices': [65, 71]}, {'screen_name': 'sprintcare', 'name': 'Sprint Care', 'id': 16560043, 'id_str': '16560043', 'indices': [76, 87]}]",,2
3,Thank you Heather cx319552 you make me sad i left sprint your customer service was on point!! @MichelCombes @sprintcare,"[{'screen_name': 'MichelCombes', 'name': 'Michel Combes', 'id': 999288449139204097, 'id_str': '999288449139204097', 'indices': [94, 107]}, {'screen_name': 'sprintcare', 'name': 'Sprint Care', 'id': 16560043, 'id_str': '16560043', 'indices': [108, 119]}]",,2
4,"⁦@sprint⁩ said I have their best coverage at my work when I called to ask why I suddenly never have service. If this is the best, then what is worst??? ⁦@sprintcare⁩ https://t.co/IkUclCPxM9","[{'screen_name': 'sprint', 'name': 'Sprint', 'id': 14626738, 'id_str': '14626738', 'indices': [1, 8]}, {'screen_name': 'sprintcare', 'name': 'Sprint Care', 'id': 16560043, 'id_str': '16560043', 'indices': [153, 164]}]",,2
5,Time to make a change from @sprintcare @sprint to T-Mobile who was rank #1 by J.D. Power  in customer service,"[{'screen_name': 'sprintcare', 'name': 'Sprint Care', 'id': 16560043, 'id_str': '16560043', 'indices': [27, 38]}, {'screen_name': 'sprint', 'name': 'Sprint', 'id': 14626738, 'id_str': '14626738', 'indices': [39, 46]}]",,2
6,Can’t even stream @pandora on @sprintcare makes me mad https://t.co/ZkuMUtMxdb,"[{'screen_name': 'Pandora', 'name': 'Pandora', 'id': 3175, 'id_str': '3175', 'indices': [18, 26]}, {'screen_name': 'sprintcare', 'name': 'Sprint Care', 'id': 16560043, 'id_str': '16560043', 'indices': [30, 41]}]",,2
7,I hate @sprintcare service dead always can’t even stream music inside the gym horrible,"[{'screen_name': 'sprintcare', 'name': 'Sprint Care', 'id': 16560043, 'id_str': '16560043', 'indices': [7, 18]}]",,2
8,"So @sprintcare, is there a reason my phone keeps switching back and forth between LTE and 1x? Super frustrating.","[{'screen_name': 'sprintcare', 'name': 'Sprint Care', 'id': 16560043, 'id_str': '16560043', 'indices': [3, 14]}]",,2
9,Me: wow I would love to look at this picture                                                      @sprintcare: pffffttt not on our network https://t.co/z1HZiehkdh,"[{'screen_name': 'sprintcare', 'name': 'Sprint Care', 'id': 16560043, 'id_str': '16560043', 'indices': [98, 109]}]",,2
10,Got my new iPhone thank you @sprint @sprintcare for all your help,"[{'screen_name': 'sprint', 'name': 'Sprint', 'id': 14626738, 'id_str': '14626738', 'indices': [28, 35]}, {'screen_name': 'sprintcare', 'name': 'Sprint Care', 'id': 16560043, 'id_str': '16560043', 'indices': [36, 47]}]",,2
11,Pissed off at @sprint @sprintcare for changing my plan without letting me know causing it to go up almost $70 what company do that,"[{'screen_name': 'sprint', 'name': 'Sprint', 'id': 14626738, 'id_str': '14626738', 'indices': [14, 21]}, {'screen_name': 'sprintcare', 'name': 'Sprint Care', 'id': 16560043, 'id_str': '16560043', 'indices': [22, 33]}]",,2
12,Is anyone else having issues with their data not working on sprints network? @sprintcare,"[{'screen_name': 'sprintcare', 'name': 'Sprint Care', 'id': 16560043, 'id_str': '16560043', 'indices': [77, 88]}]",,2
