,text,mentions,choose_one,class_label
0,"Thanks to the people that gave @Target gift cards, I bought my rocking chair! 🤗","[{'screen_name': 'Target', 'name': 'Target', 'id': 89084561, 'id_str': '89084561', 'indices': [31, 38]}]",,2
1,So the sale is I pay MORE @Target ?? https://t.co/FeCxn6VFTV,"[{'screen_name': 'Target', 'name': 'Target', 'id': 89084561, 'id_str': '89084561', 'indices': [26, 33]}]",,2
2,Thank you @AskTarget for you hassle-free help via social media. MUCH easier than email/app and {especially} phone #istillhearttarget #targetdiditagain @Target,"[{'screen_name': 'AskTarget', 'name': 'AskTarget', 'id': 432599292, 'id_str': '432599292', 'indices': [10, 20]}, {'screen_name': 'Target', 'name': 'Target', 'id': 89084561, 'id_str': '89084561', 'indices': [151, 158]}]",,2
3,"Craziest place u done had sex? 

Mine was on a aisle at @Target","[{'screen_name': 'Target', 'name': 'Target', 'id': 89084561, 'id_str': '89084561', 'indices': [56, 63]}]",,2
4,One of my pet peeves: those annoying plastic tags on clothing. I just spent 20 minutes getting all of them off of my daughter's new @Target Cat and Jack pajamas. It's wasteful and they inevitably end up everywhere. There has to be a better way! https://t.co/IvlbxQtUXa,"[{'screen_name': 'Target', 'name': 'Target', 'id': 89084561, 'id_str': '89084561', 'indices': [132, 139]}]",,2
5,Look what @megewils got me. Too bad my mom is making me share with the others. @target #hauntedcathouse https://t.co/l8EGjEtVxD,"[{'screen_name': 'megewils', 'name': 'Megs', 'id': 889137073, 'id_str': '889137073', 'indices': [10, 19]}, {'screen_name': 'Target', 'name': 'Target', 'id': 89084561, 'id_str': '89084561', 'indices': [79, 86]}]",,2
6,"Dang you, @target, for making such a cute and actually useful item. joeythesqueak loves it and the others. #hauntedcathouse #furbabies #hauntedhousecatscratcher #whowillwinthehouse? https://t.co/uStivwo1mz","[{'screen_name': 'Target', 'name': 'Target', 'id': 89084561, 'id_str': '89084561', 'indices': [10, 17]}]",,2
7,You don't make a list when you go to @Target . You let Target tell you what you need. #yououghtaknow https://t.co/bsfgbCx0LI,"[{'screen_name': 'Target', 'name': 'Target', 'id': 89084561, 'id_str': '89084561', 'indices': [37, 44]}]",,2
8,"Just picked this up today at @target love this movie it’s just so cool #SoloaStarWarsStory #StarWars #StarWarsLife #HanSolo @ Los Angeles, California https://t.co/u2HzuQkNfD","[{'screen_name': 'Target', 'name': 'Target', 'id': 89084561, 'id_str': '89084561', 'indices': [29, 36]}]",,2
9,I didn’t want 4K but it’s was the only way to get the retail exclusives. #Solo A @starwars story @Target exclusive and @BestBuy exclusive. https://t.co/tVpCxTNXZF,"[{'screen_name': 'starwars', 'name': 'Star Wars', 'id': 20106852, 'id_str': '20106852', 'indices': [81, 90]}, {'screen_name': 'Target', 'name': 'Target', 'id': 89084561, 'id_str': '89084561', 'indices': [97, 104]}, {'screen_name': 'BestBuy', 'name': 'Best Buy', 'id': 17475575, 'id_str': '17475575', 'indices': [119, 127]}]",,2
