,text,mentions,choose_one,class_label
0,Hey @USPS @USPSHelp what’s going on? This package has been sitting for 5 days! https://t.co/pFakdqnQdD,"[{'screen_name': 'USPS', 'name': 'U.S. Postal Service', 'id': 386507775, 'id_str': '386507775', 'indices': [4, 9]}, {'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [10, 19]}]",,2
1,"Not having a ""valid"" @USPS street address is a pain in the ass.","[{'screen_name': 'USPS', 'name': 'U.S. Postal Service', 'id': 386507775, 'id_str': '386507775', 'indices': [21, 26]}]",,2
2,I guess we’re doing corporate product advertisements in official @USPS government mail now for those real dystopian vibes https://t.co/jIKeHKZ6kF,"[{'screen_name': 'USPS', 'name': 'U.S. Postal Service', 'id': 386507775, 'id_str': '386507775', 'indices': [65, 70]}]",,2
3,Dear @UPSHelp @UPS @USPS @USPSHelp please train your team to ACTUALLY find out if there’s anyone home. Don’t just throw/slide packages 10 ft away from where the actual door is in an apartment complex. Don’t leave notices pretending you “attempted”. #doyourjob,"[{'screen_name': 'UPSHelp', 'name': 'UPS Customer Support', 'id': 271516607, 'id_str': '271516607', 'indices': [5, 13]}, {'screen_name': 'UPS', 'name': 'UPS', 'id': 158129535, 'id_str': '158129535', 'indices': [14, 18]}, {'screen_name': 'USPS', 'name': 'U.S. Postal Service', 'id': 386507775, 'id_str': '386507775', 'indices': [19, 24]}, {'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [25, 34]}]",,2
4,"It's been interesting watching (via text) my @ThriftBooks order go from OR to Las Vegas, to York PA, to 2 places in VA (where it currently is) ... and I'm in DE. The @USPS system is really odd. No complaints, just amused. I wonder where it'll go next? 🤔🗺 #ABookWellTraveled 😅","[{'screen_name': 'ThriftBooks', 'name': 'ThriftBooks', 'id': 366209354, 'id_str': '366209354', 'indices': [45, 57]}, {'screen_name': 'USPS', 'name': 'U.S. Postal Service', 'id': 386507775, 'id_str': '386507775', 'indices': [166, 171]}]",,2
5,"I have the nicest #postman in the world here named James. He is #filipino and the most kind individual ever. He has been with me here for a long time. Always pleasant, always takes care of my packages &amp; mail with such care. 
Just wanted a #shoutout there.  @USPS","[{'screen_name': 'USPS', 'name': 'U.S. Postal Service', 'id': 386507775, 'id_str': '386507775', 'indices': [261, 266]}]",,2
6,"HAHAHA SO @USPS LOST MY ULTRALIGHT PHANTOM, DELIVERED IT TO THE WRONG COMPLEX AND NOW THEY CAN'T FIND IT LOLOLOLOLOLOLOL","[{'screen_name': 'USPS', 'name': 'U.S. Postal Service', 'id': 386507775, 'id_str': '386507775', 'indices': [10, 15]}]",,2
7,S/O to @amazon @AmazonHelp for being a champion and helping me get my package delivered when @USPS F’d it up.,"[{'screen_name': 'amazon', 'name': 'Amazon.com', 'id': 20793816, 'id_str': '20793816', 'indices': [7, 14]}, {'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [15, 26]}, {'screen_name': 'USPS', 'name': 'U.S. Postal Service', 'id': 386507775, 'id_str': '386507775', 'indices': [93, 98]}]",,2
8,.@USPS https://t.co/y3frnEPZti,"[{'screen_name': 'USPS', 'name': 'U.S. Postal Service', 'id': 386507775, 'id_str': '386507775', 'indices': [1, 6]}]",,2
9,I’m so pissed at @USPS horrible mailing service 😭 my ID picture is too bomb for me to have to get a NEW ID because they suck at delivering your mail ON TIME 🙄 messing my whole vacation up !,"[{'screen_name': 'USPS', 'name': 'U.S. Postal Service', 'id': 386507775, 'id_str': '386507775', 'indices': [17, 22]}]",,2
