,text,mentions,choose_one,class_label
0,This is amazing! Thank you @Verizon for empowering dreamers to be doers through innovative technology. #humanability https://t.co/TuZHxVCwW4,"[{'screen_name': 'verizon', 'name': 'Verizon', 'id': 59889953, 'id_str': '59889953', 'indices': [27, 35]}]",,2
1,We need to close the digital divide once and for all! Thank you to @Verizon for leading the way and getting free tech education tools to over 1 million kids so far.,"[{'screen_name': 'verizon', 'name': 'Verizon', 'id': 59889953, 'id_str': '59889953', 'indices': [67, 75]}]",,2
2,"What do @verizon and @AlaskaAir have in common? 🤔 They both use Live Conversation to improve their user experiences! Join us in our upcoming webinar to learn firsthand how they connect with their customers ✨ https://t.co/t8Z1b60ozt

#UX #CX #product #marketing #design https://t.co/1N1n9v6mgA","[{'screen_name': 'verizon', 'name': 'Verizon', 'id': 59889953, 'id_str': '59889953', 'indices': [8, 16]}, {'screen_name': 'AlaskaAir', 'name': 'Alaska Airlines', 'id': 13192972, 'id_str': '13192972', 'indices': [21, 31]}]",,2
3,"The future is here! More places should follow @Verizon and Sacramento’s  example, and use technology to make cities more environmentally friendly. https://t.co/yetJFawV9A","[{'screen_name': 'verizon', 'name': 'Verizon', 'id': 59889953, 'id_str': '59889953', 'indices': [46, 54]}]",,2
4,Is @verizon having problems with wireless service when it comes to sending and receiving text messages ???,"[{'screen_name': 'verizon', 'name': 'Verizon', 'id': 59889953, 'id_str': '59889953', 'indices': [3, 11]}]",,2
5,"Heather buffettBy simply adding my name, @Verizon donated on my behalf to help schools in need. Add your name and they'll do the same for you! https://t.co/LbhEANE17e #humanability","[{'screen_name': 'verizon', 'name': 'Verizon', 'id': 59889953, 'id_str': '59889953', 'indices': [41, 49]}]",,2
6,We need to close the digital divide once and for all! Thank you to @Verizon for leading the way and getting free tech education tools to over 1 million kids so far.,"[{'screen_name': 'verizon', 'name': 'Verizon', 'id': 59889953, 'id_str': '59889953', 'indices': [67, 75]}]",,2
7,I just want to take time out to thank @Verizon for the poor cell service drop calls not being able to send pics and the terrible customer service. It might be time to give @sprint a try.,"[{'screen_name': 'verizon', 'name': 'Verizon', 'id': 59889953, 'id_str': '59889953', 'indices': [38, 46]}, {'screen_name': 'sprint', 'name': 'Sprint', 'id': 14626738, 'id_str': '14626738', 'indices': [172, 179]}]",,2
8,When your trolling @Verizon so hard you get locked out of Twitter twice #Epic Let the trolls roam.....,"[{'screen_name': 'verizon', 'name': 'Verizon', 'id': 59889953, 'id_str': '59889953', 'indices': [19, 27]}]",,2
9,This is amazing! Thank you @Verizon for empowering dreamers to be doers through innovative technology. #humanability https://t.co/zy4EPlP9nB,"[{'screen_name': 'verizon', 'name': 'Verizon', 'id': 59889953, 'id_str': '59889953', 'indices': [27, 35]}]",,2
