,text,mentions,choose_one,class_label
0,"TODAS NUESTRAS SUCURSALES CUENTAN CON TERMINAL BANCARIA

Bienvenidas todas las Tarjetas Bancarias de Débito y Crédito, @VISA y @mastercard
 
Aprovecha, con nosotros  encontrarás las mejores opciones para armar tus outfit´s  📿👗👚👠👡👖 
 
Inciso® ...va conmigo! https://t.co/eRtJVuYONL","[{'screen_name': 'Visa', 'name': 'Visa', 'id': 551373363, 'id_str': '551373363', 'indices': [119, 124]}, {'screen_name': 'Mastercard', 'name': 'Mastercard', 'id': 75014376, 'id_str': '75014376', 'indices': [127, 138]}]",,2
1,"Proud to work @Visa, one of @_workingmother_ 100 Best Companies. #WM100Best https://t.co/HrcWqLRcRh","[{'screen_name': 'Visa', 'name': 'Visa', 'id': 551373363, 'id_str': '551373363', 'indices': [14, 19]}, {'screen_name': '_workingmother_', 'name': 'Working Mother', 'id': 39523386, 'id_str': '39523386', 'indices': [28, 44]}]",,2
2,No puedes faltar al evento más importante sobre gestión empresarial de México: #HBRSummit a realizar el 9 de octubre. Contaremos con ponentes de suma importancia. ¡Gracias a nuestros aliados! @ipade @PwC_Mexico @Visa @FortiLATAM https://t.co/BkS99nCdTM https://t.co/XkJuMppImb,"[{'screen_name': 'ipade', 'name': 'IPADE BusinessSchool', 'id': 47344735, 'id_str': '47344735', 'indices': [192, 198]}, {'screen_name': 'PwC_Mexico', 'name': 'PwC México', 'id': 89228812, 'id_str': '89228812', 'indices': [199, 210]}, {'screen_name': 'Visa', 'name': 'Visa', 'id': 551373363, 'id_str': '551373363', 'indices': [211, 216]}, {'screen_name': 'FortiLATAM', 'name': 'Fortinet LATAM', 'id': 141968567, 'id_str': '141968567', 'indices': [217, 228]}]",,2
3,"Market IV: In IBD Leaderboard of top growth #stocks, 8 hail from the #nasdaq, 3 from #nyse. But the ""Big Board"" also holds some #tech and #business #services leaders: @Square @TransUnion @Visa @Mastercard. See all 11 Leaderboard names here https://t.co/zCxBi3o4Gq #charts $EW $TRU","[{'screen_name': 'Square', 'name': 'Square', 'id': 93017945, 'id_str': '93017945', 'indices': [167, 174]}, {'screen_name': 'TransUnion', 'name': 'TransUnion', 'id': 258921288, 'id_str': '258921288', 'indices': [175, 186]}, {'screen_name': 'Visa', 'name': 'Visa', 'id': 551373363, 'id_str': '551373363', 'indices': [187, 192]}, {'screen_name': 'Mastercard', 'name': 'Mastercard', 'id': 75014376, 'id_str': '75014376', 'indices': [193, 204]}]",,2
4,"Fall is a great time to take a trip. It’s also the best time to plan holiday travel. A consumer expert shares her advice on getting the best deals  with @visa
https://t.co/LmaaAs9ZkM","[{'screen_name': 'Visa', 'name': 'Visa', 'id': 551373363, 'id_str': '551373363', 'indices': [153, 158]}]",,2
5,"Congratulations to @Visa for being named a 2018 100 Best Company. #WM100Best
https://t.co/FLkEVQcCgn https://t.co/bOYwrAQaoe","[{'screen_name': 'Visa', 'name': 'Visa', 'id': 551373363, 'id_str': '551373363', 'indices': [19, 24]}]",,2
6,Feeling proud that @Finnovista is founding partner of #MiamiFintechFestival together with @Visa @thelabmiami @eMergeAmericas @500Startups @refreshmiami and @CityofMiami with @FINNOSUMMIT being anchor event for inaugural year #FSMiami More info: https://t.co/y3IFao2PYW https://t.co/JLgCLMMP6b,"[{'screen_name': 'Finnovista', 'name': 'Finnovista', 'id': 1638497113, 'id_str': '1638497113', 'indices': [19, 30]}, {'screen_name': 'Visa', 'name': 'Visa', 'id': 551373363, 'id_str': '551373363', 'indices': [90, 95]}, {'screen_name': 'thelabmiami', 'name': 'The LAB Miami', 'id': 309507370, 'id_str': '309507370', 'indices': [96, 108]}, {'screen_name': 'eMergeAmericas', 'name': 'eMerge Americas', 'id': 1095701755, 'id_str': '1095701755', 'indices': [109, 124]}, {'screen_name': '500Startups', 'name': '500 Startups', 'id': 168857946, 'id_str': '168857946', 'indices': [125, 137]}, {'screen_name': 'refreshmiami', 'name': 'Refresh Miami', 'id': 12881822, 'id_str': '12881822', 'indices': [138, 151]}, {'screen_name': 'CityofMiami', 'name': 'City of Miami', 'id': 29828364, 'id_str': '29828364', 'indices': [156, 168]}, {'screen_name': 'FINNOSUMMIT', 'name': 'FINNOSUMMIT', 'id': 1497244590, 'id_str': '1497244590', 'indices': [174, 186]}]",,2
7,"“What if we could stop breaches from happening? Now, @Visa we can. We have the ability to identify the digital infrastructure used by hackers over and over to target and compromise merchants.” -Penny Lane, VP of Payment Fraud, Visa (1/3) #PayThink https://t.co/gc2K8BrhvL","[{'screen_name': 'Visa', 'name': 'Visa', 'id': 551373363, 'id_str': '551373363', 'indices': [53, 58]}]",,2
8,Great way to open the markets by celebrating @Visa’s 60th anniversary https://t.co/67UTJTHOGm,"[{'screen_name': 'Visa', 'name': 'Visa', 'id': 551373363, 'id_str': '551373363', 'indices': [45, 50]}]",,2
9,"Shout out to @NavyFederal and @Visa for telling me that I can't dispute a charge because ""the burden of proof is on you"" to prove I didn't get something. Are you serious? Y'all are as bad as the thief you're allowing to steal my money","[{'screen_name': 'NavyFederal', 'name': 'Navy Federal', 'id': 145227381, 'id_str': '145227381', 'indices': [13, 25]}, {'screen_name': 'Visa', 'name': 'Visa', 'id': 551373363, 'id_str': '551373363', 'indices': [30, 35]}]",,2
10,"Discover the most innovative #Fintech #startups in #Latam at #FSMiami with the first #sbcDemoDay of @sbcScaleFinTech program and @Visa’s #EverywhereInitiative #LAC #2018 final. Get your tickets today! @FINNOSUMMIT. Register with 20% off with ACCION20
https://t.co/Tnu5U5ML1A","[{'screen_name': 'sbcScaleFinTech', 'name': 'Startupbootcamp Scale Fintech', 'id': 937624073022181376, 'id_str': '937624073022181376', 'indices': [100, 116]}, {'screen_name': 'Visa', 'name': 'Visa', 'id': 551373363, 'id_str': '551373363', 'indices': [129, 134]}, {'screen_name': 'FINNOSUMMIT', 'name': 'FINNOSUMMIT', 'id': 1497244590, 'id_str': '1497244590', 'indices': [201, 213]}]",,2
11,The story of @Visa is truly fascinating. It will be interesting to see how intermediaries adapt to blockchain technology. Amazing disruptions ahead! https://t.co/RZNPZ0T3ig,"[{'screen_name': 'Visa', 'name': 'Visa', 'id': 551373363, 'id_str': '551373363', 'indices': [13, 18]}]",,2
12,"Hey #BusinessGators, this evening back at #HeavenerCareerWeek we welcome @RoyalCaribbean and @Visa. RSVP at #HIREWarrington https://t.co/wQmjTlafdk","[{'screen_name': 'RoyalCaribbean', 'name': 'Royal Caribbean', 'id': 36144455, 'id_str': '36144455', 'indices': [73, 88]}, {'screen_name': 'Visa', 'name': 'Visa', 'id': 551373363, 'id_str': '551373363', 'indices': [93, 98]}]",,2
13,"We’re a week away from the start of #ETASLF, the most important networking event for the payments C-suite. Looking forward to seeing everyone there. Thanks to platinum sponsors @GlobalPaymentsInc @MasterCard @Visa @WhiteCase @WellsFargo @WorldPay_Global https://t.co/ejh4AsSQSw","[{'screen_name': 'Mastercard', 'name': 'Mastercard', 'id': 75014376, 'id_str': '75014376', 'indices': [196, 207]}, {'screen_name': 'Visa', 'name': 'Visa', 'id': 551373363, 'id_str': '551373363', 'indices': [208, 213]}, {'screen_name': 'WhiteCase', 'name': 'White & Case LLP', 'id': 50316987, 'id_str': '50316987', 'indices': [214, 224]}, {'screen_name': 'WellsFargo', 'name': 'Wells Fargo', 'id': 1178011, 'id_str': '1178011', 'indices': [225, 236]}, {'screen_name': 'Worldpay_Global', 'name': 'Worldpay Global', 'id': 106115785, 'id_str': '106115785', 'indices': [237, 253]}]",,2
14,"When it comes to looking for a #tokenization solution, #security is a top concern. That's why our Token Management Service vaults sensitive #payment data in secure @Visa databases. Watch to learn more about this solution: https://t.co/Pix1umJ9WL","[{'screen_name': 'Visa', 'name': 'Visa', 'id': 551373363, 'id_str': '551373363', 'indices': [164, 169]}]",,2
15,"Just learned not to use @BBVACompass @Visa debit card for item purchased with @Square terminal. Even if you ask to run as credit, it is a cash transaction for which there is no consumer protection.  I purchased something that never shipped and am out $200 without any recourse.","[{'screen_name': 'BBVACompass', 'name': 'BBVA Compass', 'id': 16349341, 'id_str': '16349341', 'indices': [24, 36]}, {'screen_name': 'Visa', 'name': 'Visa', 'id': 551373363, 'id_str': '551373363', 'indices': [37, 42]}, {'screen_name': 'Square', 'name': 'Square', 'id': 93017945, 'id_str': '93017945', 'indices': [78, 85]}]",,2
16,"60 years of @Visa and 10 years since our IPO calls for a celebration like ringing The Opening Bell® at @NYSE! @LynneBiggar, CMO &amp; CCO, @KellyMTullier, EVP and General Counsel and a group of 10+ year Visa employees were joined by @NYSE President @stacey_cunning this morning. $V https://t.co/14LDGj1oHd","[{'screen_name': 'Visa', 'name': 'Visa', 'id': 551373363, 'id_str': '551373363', 'indices': [12, 17]}, {'screen_name': 'NYSE', 'name': 'NYSE', 'id': 21323268, 'id_str': '21323268', 'indices': [103, 108]}, {'screen_name': 'LynneBiggar', 'name': 'Lynne Biggar', 'id': 943903111118069760, 'id_str': '943903111118069760', 'indices': [110, 122]}, {'screen_name': 'KellyMTullier', 'name': 'Kelly Mahon Tullier', 'id': 729836961326837760, 'id_str': '729836961326837760', 'indices': [139, 153]}, {'screen_name': 'NYSE', 'name': 'NYSE', 'id': 21323268, 'id_str': '21323268', 'indices': [233, 238]}, {'screen_name': 'stacey_cunning', 'name': 'Stacey Cunningham', 'id': 1063224019, 'id_str': '1063224019', 'indices': [249, 264]}]",,2
17,"Hey @SamsungCanada, I have my @cibc @INTERAC @Visa Debit card set up with @SamsungPay on my #Note9 just fine, but I can only register credit cards on my Galaxy Watch? I don't have a credit card and don't really want one. Will #Interac cards be added soon?","[{'screen_name': 'SamsungCanada', 'name': 'Samsung Canada', 'id': 142805688, 'id_str': '142805688', 'indices': [4, 18]}, {'screen_name': 'cibc', 'name': 'CIBC', 'id': 27949726, 'id_str': '27949726', 'indices': [30, 35]}, {'screen_name': 'INTERAC', 'name': 'INTERAC', 'id': 114090934, 'id_str': '114090934', 'indices': [36, 44]}, {'screen_name': 'Visa', 'name': 'Visa', 'id': 551373363, 'id_str': '551373363', 'indices': [45, 50]}, {'screen_name': 'SamsungPay', 'name': 'Samsung Pay', 'id': 4869626344, 'id_str': '4869626344', 'indices': [74, 85]}]",,2
18,"Contactless card use has surged worldwide, but lags in the U.S. @Visa's Dan Sanford on why that's about to change: https://t.co/3leSFbvx6v #payments","[{'screen_name': 'Visa', 'name': 'Visa', 'id': 551373363, 'id_str': '551373363', 'indices': [64, 69]}]",,2
19,"The ETA Hall of Fame induction ceremony is sponsored by @Visa and is open to all #ETASLF attendees, an opportunity to connect with our industry’s preeminent leaders. Click here to register for #ETASLF https://t.co/mm6chDFxZt https://t.co/RUxLO1lgSp","[{'screen_name': 'Visa', 'name': 'Visa', 'id': 551373363, 'id_str': '551373363', 'indices': [56, 61]}]",,2
20,"#Visa rings opening bell at #NYSE in #NewYork to celebrate a milestone!
@Visa @NYSE 

https://t.co/ykpOCVxA5j https://t.co/wNnLkiaa4c","[{'screen_name': 'Visa', 'name': 'Visa', 'id': 551373363, 'id_str': '551373363', 'indices': [72, 77]}, {'screen_name': 'NYSE', 'name': 'NYSE', 'id': 21323268, 'id_str': '21323268', 'indices': [78, 83]}]",,2
21,"#Exposition Le festival @Visa pour L'image continue sur le parc : profitez d'une selection de 15 clichés exposés en libre accès
#gratuit → jusqu'au 15 octobre https://t.co/kFlY2ezKni https://t.co/4DVX8PzGGC","[{'screen_name': 'Visa', 'name': 'Visa', 'id': 551373363, 'id_str': '551373363', 'indices': [24, 29]}]",,2
22,Happy 60th Anniversary to @Visa | No better way to mark 60-years of business than ringing the @NYSE opening bell 🛎 Here’s to 60-more 🥂 $V #media #visa #celebration #nyse #tuesdaythoughts #tuesdaymotivation 🇺🇸 https://t.co/7O4AuNuIQp,"[{'screen_name': 'Visa', 'name': 'Visa', 'id': 551373363, 'id_str': '551373363', 'indices': [26, 31]}, {'screen_name': 'NYSE', 'name': 'NYSE', 'id': 21323268, 'id_str': '21323268', 'indices': [94, 99]}]",,2
23,record number of registrants for today's @FIDOAlliance webinar on mobile payments with @Visa: https://t.co/OkoCTLAwcy,"[{'screen_name': 'FIDOAlliance', 'name': 'The FIDO Alliance', 'id': 884964818, 'id_str': '884964818', 'indices': [41, 54]}, {'screen_name': 'Visa', 'name': 'Visa', 'id': 551373363, 'id_str': '551373363', 'indices': [87, 92]}]",,2
24,Learn how to create a chatbot by integrating our @VISA Foreign Exchange Rate #API into a messenger app. Don't miss this very cool webinar with @EricoRod08US. Register -&gt; https://t.co/2lBvZwbmP4 https://t.co/xh2QgBwdqs,"[{'screen_name': 'Visa', 'name': 'Visa', 'id': 551373363, 'id_str': '551373363', 'indices': [49, 54]}, {'screen_name': 'EricoRod08US', 'name': 'Erico Rodrigues', 'id': 944320755122176005, 'id_str': '944320755122176005', 'indices': [143, 156]}]",,2
25,"Our latest accreditations by #EMVCo, @Mastercard and @Visa for our #Shenzhen lab have enabled us to provide unrivalled local support to Chinese #manufacturers looking to launch EMV® projects https://t.co/hVUF7Nwuwl https://t.co/ldRMkdRmfB","[{'screen_name': 'Mastercard', 'name': 'Mastercard', 'id': 75014376, 'id_str': '75014376', 'indices': [37, 48]}, {'screen_name': 'Visa', 'name': 'Visa', 'id': 551373363, 'id_str': '551373363', 'indices': [53, 58]}]",,2
